Run source,Run root,Method key,Method,Dataset,Dataset label,Model key,Model,Setting key,Setting,Local epochs,Config rounds,Client count,Client count label,Communication round,Round id,Mean Matthews correlation,Std Matthews correlation,Mean accuracy (%),Seed count,Result source
nguyen repo,/homes/neumann/nguyen/fedlora/FederatedLLM/epoch_round_tuning_cola_client_count,flora,Linear FLoRA,cola_stratified,CoLA stratified,roberta-base,RoBERTa-base,homo,Homo,20,150,3,3,34,33,0.5556681072632618,0.0,81.97507190795783,1,round_config.json
nguyen repo,/homes/neumann/nguyen/fedlora/FederatedLLM/epoch_round_tuning_cola_client_count,flora,Linear FLoRA,cola_stratified,CoLA stratified,roberta-base,RoBERTa-base,homo,Homo,20,150,3,3,35,34,0.5582461120366569,0.0,82.07094918504313,1,round_config.json
nguyen repo,/homes/neumann/nguyen/fedlora/FederatedLLM/epoch_round_tuning_cola_client_count,flora,Linear FLoRA,cola_stratified,CoLA stratified,roberta-base,RoBERTa-base,homo,Homo,20,150,3,3,36,35,0.5556681072632618,0.0,81.97507190795783,1,round_config.json
nguyen repo,/homes/neumann/nguyen/fedlora/FederatedLLM/epoch_round_tuning_cola_client_count,flora,Linear FLoRA,cola_stratified,CoLA stratified,roberta-base,RoBERTa-base,homo,Homo,20,150,3,3,37,36,0.5530852997835514,0.0,81.87919463087249,1,round_config.json
nguyen repo,/homes/neumann/nguyen/fedlora/FederatedLLM/epoch_round_tuning_cola_client_count,flora,Linear FLoRA,cola_stratified,CoLA stratified,roberta-base,RoBERTa-base,homo,Homo,20,150,3,3,38,37,0.5556681072632618,0.0,81.97507190795783,1,round_config.json
nguyen repo,/homes/neumann/nguyen/fedlora/FederatedLLM/epoch_round_tuning_cola_client_count,flora,Linear FLoRA,cola_stratified,CoLA stratified,roberta-base,RoBERTa-base,homo,Homo,20,150,3,3,39,38,0.5556681072632618,0.0,81.97507190795783,1,round_config.json
nguyen repo,/homes/neumann/nguyen/fedlora/FederatedLLM/epoch_round_tuning_cola_client_count,flora,Linear FLoRA,cola_stratified,CoLA stratified,roberta-base,RoBERTa-base,homo,Homo,20,150,3,3,40,39,0.5556681072632618,0.0,81.97507190795783,1,round_config.json
nguyen repo,/homes/neumann/nguyen/fedlora/FederatedLLM/epoch_round_tuning_cola_client_count,flora,Linear FLoRA,cola_stratified,CoLA stratified,roberta-base,RoBERTa-base,homo,Homo,20,150,3,3,41,40,0.5659520425514886,0.0,82.35858101629914,1,round_config.json
nguyen repo,/homes/neumann/nguyen/fedlora/FederatedLLM/epoch_round_tuning_cola_client_count,flora,Linear FLoRA,cola_stratified,CoLA stratified,roberta-base,RoBERTa-base,homo,Homo,20,150,3,3,42,41,0.5633880074988443,0.0,82.2627037392138,1,round_config.json
nguyen repo,/homes/neumann/nguyen/fedlora/FederatedLLM/epoch_round_tuning_cola_client_count,flora,Linear FLoRA,cola_stratified,CoLA stratified,roberta-base,RoBERTa-base,homo,Homo,20,150,3,3,43,42,0.5556681072632618,0.0,81.97507190795783,1,round_config.json
nguyen repo,/homes/neumann/nguyen/fedlora/FederatedLLM/epoch_round_tuning_cola_client_count,flora,Linear FLoRA,cola_stratified,CoLA stratified,roberta-base,RoBERTa-base,homo,Homo,20,150,3,3,44,43,0.5608193878799941,0.0,82.16682646212847,1,round_config.json
nguyen repo,/homes/neumann/nguyen/fedlora/FederatedLLM/epoch_round_tuning_cola_client_count,flora,Linear FLoRA,cola_stratified,CoLA stratified,roberta-base,RoBERTa-base,homo,Homo,20,150,3,3,45,44,0.5633880074988443,0.0,82.2627037392138,1,round_config.json
nguyen repo,/homes/neumann/nguyen/fedlora/FederatedLLM/epoch_round_tuning_cola_client_count,flora,Linear FLoRA,cola_stratified,CoLA stratified,roberta-base,RoBERTa-base,homo,Homo,20,150,3,3,46,45,0.5608193878799941,0.0,82.16682646212847,1,round_config.json
nguyen repo,/homes/neumann/nguyen/fedlora/FederatedLLM/epoch_round_tuning_cola_client_count,flora,Linear FLoRA,cola_stratified,CoLA stratified,roberta-base,RoBERTa-base,homo,Homo,20,150,3,3,47,46,0.5608193878799941,0.0,82.16682646212847,1,round_config.json
