Manifest row,Method key,Method,Dataset,Dataset label,Model key,Model,Setting key,Setting,Local epochs,Config rounds,Seed,Client count,Client count label,Run dir,Score path,Stdout path,Observed rounds,Complete run,Result source,Run status,Committed rounds,Latest segment
9,ffa,Nonlinear FFA,dolly_stratified,Dolly stratified,tinyllama,TinyLlama,homo,Homo,3,50,0,20,20,epoch_round_tuning_instruction_client_count_e3r50_segmented/tuning-ffa-dolly_stratified-tinyllama-homo-e3-r50,epoch_round_tuning_instruction_client_count_e3r50_segmented/tuning-ffa-dolly_stratified-tinyllama-homo-e3-r50/seed0/20/log.txt,logs/tiny_instr_e3r50seg_s002_r09_37686_9.out,20,False,round config,Committed partial,20,2
16,flora,Linear FLoRA,wiz_stratified,Wizard stratified,tinyllama,TinyLlama,heter,Heter,3,50,0,3,3,epoch_round_tuning_instruction_client_count_e3r50_segmented/tuning-flora-wiz_stratified-tinyllama-heter-e3-r50,epoch_round_tuning_instruction_client_count_e3r50_segmented/tuning-flora-wiz_stratified-tinyllama-heter-e3-r50/seed0/3log.txt,logs/tiny_instr_e3r50seg_s001_r16_37669_16.out,6,False,round config,Committed partial,6,1
22,ffa,Nonlinear FFA,wiz_stratified,Wizard stratified,tinyllama,TinyLlama,heter,Heter,3,50,0,3,3,epoch_round_tuning_instruction_client_count_e3r50_segmented/tuning-ffa-wiz_stratified-tinyllama-heter-e3-r50,epoch_round_tuning_instruction_client_count_e3r50_segmented/tuning-ffa-wiz_stratified-tinyllama-heter-e3-r50/seed0/3/log.txt,logs/tiny_instr_e3r50seg_s001_r22_37675_22.out,4,False,round config,Committed partial,4,1
17,flora,Linear FLoRA,wiz_stratified,Wizard stratified,tinyllama,TinyLlama,heter,Heter,3,50,0,10,10,epoch_round_tuning_instruction_client_count_e3r50_segmented/tuning-flora-wiz_stratified-tinyllama-heter-e3-r50,epoch_round_tuning_instruction_client_count_e3r50_segmented/tuning-flora-wiz_stratified-tinyllama-heter-e3-r50/seed0/10log.txt,logs/tiny_instr_e3r50seg_s002_r17_37694_17.out,12,False,round config,Committed partial,12,2
23,ffa,Nonlinear FFA,wiz_stratified,Wizard stratified,tinyllama,TinyLlama,heter,Heter,3,50,0,10,10,epoch_round_tuning_instruction_client_count_e3r50_segmented/tuning-ffa-wiz_stratified-tinyllama-heter-e3-r50,epoch_round_tuning_instruction_client_count_e3r50_segmented/tuning-ffa-wiz_stratified-tinyllama-heter-e3-r50/seed0/10/log.txt,,0,False,none,No scores,0,0
18,flora,Linear FLoRA,wiz_stratified,Wizard stratified,tinyllama,TinyLlama,heter,Heter,3,50,0,20,20,epoch_round_tuning_instruction_client_count_e3r50_segmented/tuning-flora-wiz_stratified-tinyllama-heter-e3-r50,epoch_round_tuning_instruction_client_count_e3r50_segmented/tuning-flora-wiz_stratified-tinyllama-heter-e3-r50/seed0/20log.txt,logs/tiny_instr_e3r50seg_s001_r18_37671_18.out,10,False,round config,Committed partial,10,1
24,ffa,Nonlinear FFA,wiz_stratified,Wizard stratified,tinyllama,TinyLlama,heter,Heter,3,50,0,20,20,epoch_round_tuning_instruction_client_count_e3r50_segmented/tuning-ffa-wiz_stratified-tinyllama-heter-e3-r50,epoch_round_tuning_instruction_client_count_e3r50_segmented/tuning-ffa-wiz_stratified-tinyllama-heter-e3-r50/seed0/20/log.txt,,0,False,none,No scores,0,0
13,flora,Linear FLoRA,wiz_stratified,Wizard stratified,tinyllama,TinyLlama,homo,Homo,3,50,0,3,3,epoch_round_tuning_instruction_client_count_e3r50_segmented/tuning-flora-wiz_stratified-tinyllama-homo-e3-r50,epoch_round_tuning_instruction_client_count_e3r50_segmented/tuning-flora-wiz_stratified-tinyllama-homo-e3-r50/seed0/3log.txt,logs/tiny_instr_e3r50seg_s001_r13_37666_13.out,10,False,round config,Committed partial,10,1
19,ffa,Nonlinear FFA,wiz_stratified,Wizard stratified,tinyllama,TinyLlama,homo,Homo,3,50,0,3,3,epoch_round_tuning_instruction_client_count_e3r50_segmented/tuning-ffa-wiz_stratified-tinyllama-homo-e3-r50,epoch_round_tuning_instruction_client_count_e3r50_segmented/tuning-ffa-wiz_stratified-tinyllama-homo-e3-r50/seed0/3/log.txt,logs/tiny_instr_e3r50seg_s002_r19_37696_19.out,10,False,round config,Committed partial,10,1
14,flora,Linear FLoRA,wiz_stratified,Wizard stratified,tinyllama,TinyLlama,homo,Homo,3,50,0,10,10,epoch_round_tuning_instruction_client_count_e3r50_segmented/tuning-flora-wiz_stratified-tinyllama-homo-e3-r50,epoch_round_tuning_instruction_client_count_e3r50_segmented/tuning-flora-wiz_stratified-tinyllama-homo-e3-r50/seed0/10log.txt,logs/tiny_instr_e3r50seg_s001_r14_37667_14.out,10,False,round config,Committed partial,10,1
20,ffa,Nonlinear FFA,wiz_stratified,Wizard stratified,tinyllama,TinyLlama,homo,Homo,3,50,0,10,10,epoch_round_tuning_instruction_client_count_e3r50_segmented/tuning-ffa-wiz_stratified-tinyllama-homo-e3-r50,epoch_round_tuning_instruction_client_count_e3r50_segmented/tuning-ffa-wiz_stratified-tinyllama-homo-e3-r50/seed0/10/log.txt,logs/tiny_instr_e3r50seg_s001_r20_37673_20.out,10,False,round config,Committed partial,10,1
15,flora,Linear FLoRA,wiz_stratified,Wizard stratified,tinyllama,TinyLlama,homo,Homo,3,50,0,20,20,epoch_round_tuning_instruction_client_count_e3r50_segmented/tuning-flora-wiz_stratified-tinyllama-homo-e3-r50,epoch_round_tuning_instruction_client_count_e3r50_segmented/tuning-flora-wiz_stratified-tinyllama-homo-e3-r50/seed0/20log.txt,logs/tiny_instr_e3r50seg_s001_r15_37668_15.out,9,False,round config,Committed partial,9,1
21,ffa,Nonlinear FFA,wiz_stratified,Wizard stratified,tinyllama,TinyLlama,homo,Homo,3,50,0,20,20,epoch_round_tuning_instruction_client_count_e3r50_segmented/tuning-ffa-wiz_stratified-tinyllama-homo-e3-r50,epoch_round_tuning_instruction_client_count_e3r50_segmented/tuning-ffa-wiz_stratified-tinyllama-homo-e3-r50/seed0/20/log.txt,logs/tiny_instr_e3r50seg_s001_r21_37674_21.out,4,False,round config,Committed partial,4,1
