Method key,Method,Dataset,Dataset label,Model key,Model,Setting key,Setting,Local epochs,Config rounds,Client count,Client count label,Round,Round id,Segment,Accuracy source,Result source,Run status,Mean accuracy,Std accuracy,Seed count,Manifest rows,Communication round
ffa,Nonlinear FFA,dolly_stratified,Dolly stratified,tinyllama,TinyLlama,heter,Heter,3,50,3,3,13,12,2,round_config,round config,Committed partial,29.804733098647045,0.0,1,10,13
ffa,Nonlinear FFA,dolly_stratified,Dolly stratified,tinyllama,TinyLlama,heter,Heter,3,50,3,3,14,13,2,round_config,round config,Committed partial,30.896372858394137,0.0,1,10,14
ffa,Nonlinear FFA,dolly_stratified,Dolly stratified,tinyllama,TinyLlama,heter,Heter,3,50,3,3,15,14,2,round_config,round config,Committed partial,31.461254936254175,0.0,1,10,15
ffa,Nonlinear FFA,dolly_stratified,Dolly stratified,tinyllama,TinyLlama,heter,Heter,3,50,3,3,16,15,2,round_config,round config,Committed partial,31.71741594233187,0.0,1,10,16
ffa,Nonlinear FFA,dolly_stratified,Dolly stratified,tinyllama,TinyLlama,heter,Heter,3,50,3,3,17,16,2,round_config,round config,Committed partial,32.87034137420887,0.0,1,10,17
ffa,Nonlinear FFA,dolly_stratified,Dolly stratified,tinyllama,TinyLlama,heter,Heter,3,50,3,3,18,17,2,round_config,round config,Committed partial,31.528596410788325,0.0,1,10,18
ffa,Nonlinear FFA,dolly_stratified,Dolly stratified,tinyllama,TinyLlama,heter,Heter,3,50,3,3,19,18,2,round_config,round config,Committed partial,31.79144046334984,0.0,1,10,19
ffa,Nonlinear FFA,dolly_stratified,Dolly stratified,tinyllama,TinyLlama,heter,Heter,3,50,3,3,20,19,2,round_config,round config,Committed partial,32.418147286416136,0.0,1,10,20
flora,Linear FLoRA,dolly_stratified,Dolly stratified,tinyllama,TinyLlama,heter,Heter,3,50,10,10,1,0,1,round_config,round config,Committed partial,27.439423212896045,0.0,1,5,1
flora,Linear FLoRA,dolly_stratified,Dolly stratified,tinyllama,TinyLlama,heter,Heter,3,50,10,10,2,1,1,round_config,round config,Committed partial,28.930923731821974,0.0,1,5,2
flora,Linear FLoRA,dolly_stratified,Dolly stratified,tinyllama,TinyLlama,heter,Heter,3,50,10,10,3,2,1,round_config,round config,Committed partial,27.440570261892788,0.0,1,5,3
flora,Linear FLoRA,dolly_stratified,Dolly stratified,tinyllama,TinyLlama,heter,Heter,3,50,10,10,4,3,1,round_config,round config,Committed partial,27.551439340539364,0.0,1,5,4
flora,Linear FLoRA,dolly_stratified,Dolly stratified,tinyllama,TinyLlama,heter,Heter,3,50,10,10,5,4,1,round_config,round config,Committed partial,26.150439665994448,0.0,1,5,5
flora,Linear FLoRA,dolly_stratified,Dolly stratified,tinyllama,TinyLlama,heter,Heter,3,50,10,10,6,5,1,round_config,round config,Committed partial,26.278711118904617,0.0,1,5,6
flora,Linear FLoRA,dolly_stratified,Dolly stratified,tinyllama,TinyLlama,heter,Heter,3,50,10,10,7,6,1,round_config,round config,Committed partial,26.472664558023105,0.0,1,5,7
flora,Linear FLoRA,dolly_stratified,Dolly stratified,tinyllama,TinyLlama,heter,Heter,3,50,10,10,8,7,1,round_config,round config,Committed partial,26.821338327838006,0.0,1,5,8
flora,Linear FLoRA,dolly_stratified,Dolly stratified,tinyllama,TinyLlama,heter,Heter,3,50,10,10,9,8,1,round_config,round config,Committed partial,26.966628258731696,0.0,1,5,9
flora,Linear FLoRA,dolly_stratified,Dolly stratified,tinyllama,TinyLlama,heter,Heter,3,50,10,10,10,9,1,round_config,round config,Committed partial,27.210137474145757,0.0,1,5,10
ffa,Nonlinear FFA,dolly_stratified,Dolly stratified,tinyllama,TinyLlama,heter,Heter,3,50,10,10,1,0,1,round_config,round config,Committed partial,21.678196966591646,0.0,1,11,1
ffa,Nonlinear FFA,dolly_stratified,Dolly stratified,tinyllama,TinyLlama,heter,Heter,3,50,10,10,2,1,1,round_config,round config,Committed partial,23.55121405419301,0.0,1,11,2
ffa,Nonlinear FFA,dolly_stratified,Dolly stratified,tinyllama,TinyLlama,heter,Heter,3,50,10,10,3,2,1,round_config,round config,Committed partial,25.916164085072644,0.0,1,11,3
ffa,Nonlinear FFA,dolly_stratified,Dolly stratified,tinyllama,TinyLlama,heter,Heter,3,50,10,10,4,3,1,round_config,round config,Committed partial,28.842765280959405,0.0,1,11,4
ffa,Nonlinear FFA,dolly_stratified,Dolly stratified,tinyllama,TinyLlama,heter,Heter,3,50,10,10,5,4,1,round_config,round config,Committed partial,28.597952988462776,0.0,1,11,5
ffa,Nonlinear FFA,dolly_stratified,Dolly stratified,tinyllama,TinyLlama,heter,Heter,3,50,10,10,6,5,1,round_config,round config,Committed partial,28.116785027618118,0.0,1,11,6
ffa,Nonlinear FFA,dolly_stratified,Dolly stratified,tinyllama,TinyLlama,heter,Heter,3,50,10,10,7,6,1,round_config,round config,Committed partial,28.128605605559205,0.0,1,11,7
ffa,Nonlinear FFA,dolly_stratified,Dolly stratified,tinyllama,TinyLlama,heter,Heter,3,50,10,10,8,7,1,round_config,round config,Committed partial,29.45497619791641,0.0,1,11,8
ffa,Nonlinear FFA,dolly_stratified,Dolly stratified,tinyllama,TinyLlama,heter,Heter,3,50,10,10,9,8,1,round_config,round config,Committed partial,27.61116113022978,0.0,1,11,9
ffa,Nonlinear FFA,dolly_stratified,Dolly stratified,tinyllama,TinyLlama,heter,Heter,3,50,10,10,10,9,1,round_config,round config,Committed partial,26.17861002745414,0.0,1,11,10
ffa,Nonlinear FFA,dolly_stratified,Dolly stratified,tinyllama,TinyLlama,heter,Heter,3,50,10,10,11,10,2,round_config,round config,Committed partial,28.54207132804476,0.0,1,11,11
ffa,Nonlinear FFA,dolly_stratified,Dolly stratified,tinyllama,TinyLlama,heter,Heter,3,50,10,10,12,11,2,round_config,round config,Committed partial,29.655002802581464,0.0,1,11,12
ffa,Nonlinear FFA,dolly_stratified,Dolly stratified,tinyllama,TinyLlama,heter,Heter,3,50,10,10,13,12,2,round_config,round config,Committed partial,27.66322852328951,0.0,1,11,13
ffa,Nonlinear FFA,dolly_stratified,Dolly stratified,tinyllama,TinyLlama,heter,Heter,3,50,10,10,14,13,2,round_config,round config,Committed partial,27.072624673250413,0.0,1,11,14
