Manifest row,Method key,Method,Dataset,Dataset label,Model key,Model,Setting key,Setting,Local epochs,Config rounds,Seed,Client count,Client count label,Run dir,Score path,Stdout path,Observed rounds,Complete run,Result source,Run status,Committed rounds,Latest segment,Round,Round id,Segment,Accuracy,Accuracy source,Segment artifact path
4,flora,Linear FLoRA,dolly_stratified,Dolly stratified,tinyllama,TinyLlama,heter,Heter,3,50,0,3,3,epoch_round_tuning_instruction_client_count_e3r50_segmented/tuning-flora-dolly_stratified-tinyllama-heter-e3-r50,epoch_round_tuning_instruction_client_count_e3r50_segmented/tuning-flora-dolly_stratified-tinyllama-heter-e3-r50/seed0/3log.txt,logs/tiny_instr_e3r50seg_s002_r04_37681_4.out,20,False,round config,Committed partial,20,2,11,10,2,27.60447307648964,round_config,epoch_round_tuning_instruction_client_count_e3r50_segmented/tuning-flora-dolly_stratified-tinyllama-heter-e3-r50/seed0/3/10/round_config.json
4,flora,Linear FLoRA,dolly_stratified,Dolly stratified,tinyllama,TinyLlama,heter,Heter,3,50,0,3,3,epoch_round_tuning_instruction_client_count_e3r50_segmented/tuning-flora-dolly_stratified-tinyllama-heter-e3-r50,epoch_round_tuning_instruction_client_count_e3r50_segmented/tuning-flora-dolly_stratified-tinyllama-heter-e3-r50/seed0/3log.txt,logs/tiny_instr_e3r50seg_s002_r04_37681_4.out,20,False,round config,Committed partial,20,2,12,11,2,27.40014419730536,round_config,epoch_round_tuning_instruction_client_count_e3r50_segmented/tuning-flora-dolly_stratified-tinyllama-heter-e3-r50/seed0/3/11/round_config.json
4,flora,Linear FLoRA,dolly_stratified,Dolly stratified,tinyllama,TinyLlama,heter,Heter,3,50,0,3,3,epoch_round_tuning_instruction_client_count_e3r50_segmented/tuning-flora-dolly_stratified-tinyllama-heter-e3-r50,epoch_round_tuning_instruction_client_count_e3r50_segmented/tuning-flora-dolly_stratified-tinyllama-heter-e3-r50/seed0/3log.txt,logs/tiny_instr_e3r50seg_s002_r04_37681_4.out,20,False,round config,Committed partial,20,2,13,12,2,26.294875928821543,round_config,epoch_round_tuning_instruction_client_count_e3r50_segmented/tuning-flora-dolly_stratified-tinyllama-heter-e3-r50/seed0/3/12/round_config.json
4,flora,Linear FLoRA,dolly_stratified,Dolly stratified,tinyllama,TinyLlama,heter,Heter,3,50,0,3,3,epoch_round_tuning_instruction_client_count_e3r50_segmented/tuning-flora-dolly_stratified-tinyllama-heter-e3-r50,epoch_round_tuning_instruction_client_count_e3r50_segmented/tuning-flora-dolly_stratified-tinyllama-heter-e3-r50/seed0/3log.txt,logs/tiny_instr_e3r50seg_s002_r04_37681_4.out,20,False,round config,Committed partial,20,2,14,13,2,25.709900180829496,round_config,epoch_round_tuning_instruction_client_count_e3r50_segmented/tuning-flora-dolly_stratified-tinyllama-heter-e3-r50/seed0/3/13/round_config.json
4,flora,Linear FLoRA,dolly_stratified,Dolly stratified,tinyllama,TinyLlama,heter,Heter,3,50,0,3,3,epoch_round_tuning_instruction_client_count_e3r50_segmented/tuning-flora-dolly_stratified-tinyllama-heter-e3-r50,epoch_round_tuning_instruction_client_count_e3r50_segmented/tuning-flora-dolly_stratified-tinyllama-heter-e3-r50/seed0/3log.txt,logs/tiny_instr_e3r50seg_s002_r04_37681_4.out,20,False,round config,Committed partial,20,2,15,14,2,26.585759678005584,round_config,epoch_round_tuning_instruction_client_count_e3r50_segmented/tuning-flora-dolly_stratified-tinyllama-heter-e3-r50/seed0/3/14/round_config.json
4,flora,Linear FLoRA,dolly_stratified,Dolly stratified,tinyllama,TinyLlama,heter,Heter,3,50,0,3,3,epoch_round_tuning_instruction_client_count_e3r50_segmented/tuning-flora-dolly_stratified-tinyllama-heter-e3-r50,epoch_round_tuning_instruction_client_count_e3r50_segmented/tuning-flora-dolly_stratified-tinyllama-heter-e3-r50/seed0/3log.txt,logs/tiny_instr_e3r50seg_s002_r04_37681_4.out,20,False,round config,Committed partial,20,2,16,15,2,25.167924153554637,round_config,epoch_round_tuning_instruction_client_count_e3r50_segmented/tuning-flora-dolly_stratified-tinyllama-heter-e3-r50/seed0/3/15/round_config.json
4,flora,Linear FLoRA,dolly_stratified,Dolly stratified,tinyllama,TinyLlama,heter,Heter,3,50,0,3,3,epoch_round_tuning_instruction_client_count_e3r50_segmented/tuning-flora-dolly_stratified-tinyllama-heter-e3-r50,epoch_round_tuning_instruction_client_count_e3r50_segmented/tuning-flora-dolly_stratified-tinyllama-heter-e3-r50/seed0/3log.txt,logs/tiny_instr_e3r50seg_s002_r04_37681_4.out,20,False,round config,Committed partial,20,2,17,16,2,24.866928507300887,round_config,epoch_round_tuning_instruction_client_count_e3r50_segmented/tuning-flora-dolly_stratified-tinyllama-heter-e3-r50/seed0/3/16/round_config.json
4,flora,Linear FLoRA,dolly_stratified,Dolly stratified,tinyllama,TinyLlama,heter,Heter,3,50,0,3,3,epoch_round_tuning_instruction_client_count_e3r50_segmented/tuning-flora-dolly_stratified-tinyllama-heter-e3-r50,epoch_round_tuning_instruction_client_count_e3r50_segmented/tuning-flora-dolly_stratified-tinyllama-heter-e3-r50/seed0/3log.txt,logs/tiny_instr_e3r50seg_s002_r04_37681_4.out,20,False,round config,Committed partial,20,2,18,17,2,23.347180861747418,round_config,epoch_round_tuning_instruction_client_count_e3r50_segmented/tuning-flora-dolly_stratified-tinyllama-heter-e3-r50/seed0/3/17/round_config.json
4,flora,Linear FLoRA,dolly_stratified,Dolly stratified,tinyllama,TinyLlama,heter,Heter,3,50,0,3,3,epoch_round_tuning_instruction_client_count_e3r50_segmented/tuning-flora-dolly_stratified-tinyllama-heter-e3-r50,epoch_round_tuning_instruction_client_count_e3r50_segmented/tuning-flora-dolly_stratified-tinyllama-heter-e3-r50/seed0/3log.txt,logs/tiny_instr_e3r50seg_s002_r04_37681_4.out,20,False,round config,Committed partial,20,2,19,18,2,23.27942161521254,round_config,epoch_round_tuning_instruction_client_count_e3r50_segmented/tuning-flora-dolly_stratified-tinyllama-heter-e3-r50/seed0/3/18/round_config.json
4,flora,Linear FLoRA,dolly_stratified,Dolly stratified,tinyllama,TinyLlama,heter,Heter,3,50,0,3,3,epoch_round_tuning_instruction_client_count_e3r50_segmented/tuning-flora-dolly_stratified-tinyllama-heter-e3-r50,epoch_round_tuning_instruction_client_count_e3r50_segmented/tuning-flora-dolly_stratified-tinyllama-heter-e3-r50/seed0/3log.txt,logs/tiny_instr_e3r50seg_s002_r04_37681_4.out,20,False,round config,Committed partial,20,2,20,19,2,23.692012983922055,round_config,epoch_round_tuning_instruction_client_count_e3r50_segmented/tuning-flora-dolly_stratified-tinyllama-heter-e3-r50/seed0/3/19/round_config.json
10,ffa,Nonlinear FFA,dolly_stratified,Dolly stratified,tinyllama,TinyLlama,heter,Heter,3,50,0,3,3,epoch_round_tuning_instruction_client_count_e3r50_segmented/tuning-ffa-dolly_stratified-tinyllama-heter-e3-r50,epoch_round_tuning_instruction_client_count_e3r50_segmented/tuning-ffa-dolly_stratified-tinyllama-heter-e3-r50/seed0/3/log.txt,logs/tiny_instr_e3r50seg_s002_r10_37687_10.out,20,False,round config,Committed partial,20,2,1,0,1,27.885945601746638,round_config,epoch_round_tuning_instruction_client_count_e3r50_segmented/tuning-ffa-dolly_stratified-tinyllama-heter-e3-r50/seed0/3/0/round_config.json
10,ffa,Nonlinear FFA,dolly_stratified,Dolly stratified,tinyllama,TinyLlama,heter,Heter,3,50,0,3,3,epoch_round_tuning_instruction_client_count_e3r50_segmented/tuning-ffa-dolly_stratified-tinyllama-heter-e3-r50,epoch_round_tuning_instruction_client_count_e3r50_segmented/tuning-ffa-dolly_stratified-tinyllama-heter-e3-r50/seed0/3/log.txt,logs/tiny_instr_e3r50seg_s002_r10_37687_10.out,20,False,round config,Committed partial,20,2,2,1,1,28.45594551403491,round_config,epoch_round_tuning_instruction_client_count_e3r50_segmented/tuning-ffa-dolly_stratified-tinyllama-heter-e3-r50/seed0/3/1/round_config.json
10,ffa,Nonlinear FFA,dolly_stratified,Dolly stratified,tinyllama,TinyLlama,heter,Heter,3,50,0,3,3,epoch_round_tuning_instruction_client_count_e3r50_segmented/tuning-ffa-dolly_stratified-tinyllama-heter-e3-r50,epoch_round_tuning_instruction_client_count_e3r50_segmented/tuning-ffa-dolly_stratified-tinyllama-heter-e3-r50/seed0/3/log.txt,logs/tiny_instr_e3r50seg_s002_r10_37687_10.out,20,False,round config,Committed partial,20,2,3,2,1,29.83680812464919,round_config,epoch_round_tuning_instruction_client_count_e3r50_segmented/tuning-ffa-dolly_stratified-tinyllama-heter-e3-r50/seed0/3/2/round_config.json
10,ffa,Nonlinear FFA,dolly_stratified,Dolly stratified,tinyllama,TinyLlama,heter,Heter,3,50,0,3,3,epoch_round_tuning_instruction_client_count_e3r50_segmented/tuning-ffa-dolly_stratified-tinyllama-heter-e3-r50,epoch_round_tuning_instruction_client_count_e3r50_segmented/tuning-ffa-dolly_stratified-tinyllama-heter-e3-r50/seed0/3/log.txt,logs/tiny_instr_e3r50seg_s002_r10_37687_10.out,20,False,round config,Committed partial,20,2,4,3,1,27.705581920319844,round_config,epoch_round_tuning_instruction_client_count_e3r50_segmented/tuning-ffa-dolly_stratified-tinyllama-heter-e3-r50/seed0/3/3/round_config.json
