Method key,Method,Dataset,Dataset label,Model key,Model,Setting key,Setting,Local epochs,Plateau round,Plateau accuracy,Best round,Best accuracy,Best compute cost,Final round,Final accuracy,Post-peak degradation,Worst later degradation,Later rounds hurt > tolerance,Max round observed,Seed count,Seeds
ffa,Nonlinear FFA,wiz_stratified,Wizard stratified,tinyllama,TinyLlama,homo,Homo,2,2,31.80994536900661,5,31.835038377536396,10,10,30.477971490093424,1.357066887442972,2.623589594994435,True,10,1,0
ffa,Nonlinear FFA,wiz_stratified,Wizard stratified,tinyllama,TinyLlama,homo,Homo,3,1,30.91851002035319,6,31.84749089318692,18,10,30.551818057653595,1.295672835533324,2.004553494013898,True,10,1,0
ffa,Nonlinear FFA,wiz_stratified,Wizard stratified,tinyllama,TinyLlama,homo,Homo,5,1,32.349736848160674,1,32.349736848160674,5,10,28.581165763424604,3.7685710847360703,4.569786274189024,True,10,1,0
flora,Linear FLoRA,dolly,Dolly,tinyllama,TinyLlama,heter,Heter,1,2,27.637384909655573,8,28.368719626339562,8,10,27.135806539974773,1.232913086364789,1.232913086364789,True,10,1,0
flora,Linear FLoRA,dolly,Dolly,tinyllama,TinyLlama,heter,Heter,2,1,29.38020421842083,5,29.95713368479402,10,10,28.834408267833282,1.122725416960737,2.3248535157432464,True,10,1,0
flora,Linear FLoRA,dolly,Dolly,tinyllama,TinyLlama,heter,Heter,3,2,29.239962529536236,3,29.422202458681294,9,10,27.603019089114113,1.819183369567181,2.5858671976130374,True,10,1,0
flora,Linear FLoRA,dolly,Dolly,tinyllama,TinyLlama,heter,Heter,5,1,29.09271979993631,2,29.23888293929154,10,10,26.17251739399218,3.066365545299359,3.1044269782770755,True,10,1,0
flora,Linear FLoRA,dolly,Dolly,tinyllama,TinyLlama,homo,Homo,1,10,29.85784710827064,10,29.85784710827064,10,10,29.85784710827064,0.0,0.0,False,10,1,0
flora,Linear FLoRA,dolly,Dolly,tinyllama,TinyLlama,homo,Homo,2,5,30.53585210089038,5,30.53585210089038,10,10,29.552222519942273,0.9836295809481079,1.3327881475634165,True,10,1,0
flora,Linear FLoRA,dolly,Dolly,tinyllama,TinyLlama,homo,Homo,3,2,31.028687165879365,2,31.028687165879365,6,10,28.245048562134993,2.7836386037443717,3.435930855327296,True,10,1,0
flora,Linear FLoRA,dolly,Dolly,tinyllama,TinyLlama,homo,Homo,5,2,28.854729337720336,8,29.596836073923154,40,10,28.198280141477248,1.3985559324459054,2.198949450244246,True,10,1,0
flora,Linear FLoRA,dolly_stratified,Dolly stratified,tinyllama,TinyLlama,heter,Heter,1,5,28.026638786238717,10,28.869235565072458,10,10,28.869235565072458,0.0,0.0,False,10,1,0
flora,Linear FLoRA,dolly_stratified,Dolly stratified,tinyllama,TinyLlama,heter,Heter,2,3,28.15823949879011,8,29.105461981714768,16,10,26.860644143175293,2.2448178385394755,2.416003073369424,True,10,1,0
flora,Linear FLoRA,dolly_stratified,Dolly stratified,tinyllama,TinyLlama,heter,Heter,3,1,27.570072854161403,2,28.074673271321913,6,10,26.22564916092398,1.8490241103979344,1.8599219595437724,True,10,1,0
flora,Linear FLoRA,dolly_stratified,Dolly stratified,tinyllama,TinyLlama,heter,Heter,5,1,28.335098379205913,3,28.488122144311152,15,10,25.236108865291328,3.252013279019824,3.321622740684571,True,10,1,0
flora,Linear FLoRA,dolly_stratified,Dolly stratified,tinyllama,TinyLlama,homo,Homo,1,4,28.075547991262916,5,28.632243921249316,5,10,27.966428218518747,0.6658157027305691,1.9542132052677275,True,10,1,0
flora,Linear FLoRA,dolly_stratified,Dolly stratified,tinyllama,TinyLlama,homo,Homo,2,2,28.499362960700335,9,28.77335344977812,18,10,28.1666550583703,0.6066983914078214,0.6066983914078214,False,10,1,0
flora,Linear FLoRA,dolly_stratified,Dolly stratified,tinyllama,TinyLlama,homo,Homo,3,2,28.846910496548638,8,29.165202821828203,24,10,28.042840948222754,1.122361873605449,1.122361873605449,True,10,1,0
flora,Linear FLoRA,dolly_stratified,Dolly stratified,tinyllama,TinyLlama,homo,Homo,5,4,29.614578378920374,4,29.614578378920374,20,10,28.63917281760045,0.9754055613199242,2.5576556308836267,True,10,1,0
flora,Linear FLoRA,wiz,Wizard,tinyllama,TinyLlama,heter,Heter,1,1,42.09638351770471,2,42.154465751529465,2,10,40.18660413366696,1.9678616178625035,2.1904433656469706,True,10,1,0
flora,Linear FLoRA,wiz,Wizard,tinyllama,TinyLlama,heter,Heter,2,1,44.27272264988395,5,44.68460555687419,10,10,42.17589144163384,2.508714115240352,2.508714115240352,True,10,1,0
flora,Linear FLoRA,wiz,Wizard,tinyllama,TinyLlama,heter,Heter,3,1,46.216901483508074,1,46.216901483508074,3,10,38.33263238124551,7.884269102262564,10.225296062598346,True,10,1,0
flora,Linear FLoRA,wiz,Wizard,tinyllama,TinyLlama,heter,Heter,5,1,46.06484928810766,1,46.06484928810766,5,10,30.444415841415307,15.620433446692353,15.620433446692353,True,10,1,0
flora,Linear FLoRA,wiz,Wizard,tinyllama,TinyLlama,homo,Homo,1,1,45.100873212020446,1,45.100873212020446,1,10,35.58244737864831,9.518425833372135,9.813011124889044,True,10,1,0
flora,Linear FLoRA,wiz,Wizard,tinyllama,TinyLlama,homo,Homo,2,3,43.32040114715666,5,43.332710945166696,10,10,39.19553969492619,4.137171250240506,4.137171250240506,True,10,1,0
flora,Linear FLoRA,wiz,Wizard,tinyllama,TinyLlama,homo,Homo,3,1,36.82410660637841,2,37.64734670432514,6,10,36.08904946377896,1.5582972405461746,2.6832573028506346,True,10,1,0
flora,Linear FLoRA,wiz,Wizard,tinyllama,TinyLlama,homo,Homo,5,1,40.22545299620975,1,40.22545299620975,5,10,34.60655148438787,5.618901511821875,5.781017718449704,True,10,1,0
flora,Linear FLoRA,wiz_stratified,Wizard stratified,tinyllama,TinyLlama,heter,Heter,1,2,44.55370053034588,2,44.55370053034588,2,10,39.537687333823804,5.016013196522074,6.090210594775037,True,10,1,0
flora,Linear FLoRA,wiz_stratified,Wizard stratified,tinyllama,TinyLlama,heter,Heter,2,1,43.17941780344309,7,43.20431654274306,14,10,42.3593810169204,0.8449355258226561,1.3118866108655354,True,10,1,0
flora,Linear FLoRA,wiz_stratified,Wizard stratified,tinyllama,TinyLlama,heter,Heter,3,1,45.736471619380225,1,45.736471619380225,3,10,35.821307926948755,9.91516369243147,9.91516369243147,True,10,1,0
flora,Linear FLoRA,wiz_stratified,Wizard stratified,tinyllama,TinyLlama,heter,Heter,5,1,42.251335180609416,1,42.251335180609416,5,10,31.99538648792212,10.255948692687298,10.41229969045041,True,10,1,0
flora,Linear FLoRA,wiz_stratified,Wizard stratified,tinyllama,TinyLlama,homo,Homo,1,1,46.735378514127305,1,46.735378514127305,1,10,35.33815133634038,11.397227177786924,12.723114446288434,True,10,1,0
flora,Linear FLoRA,wiz_stratified,Wizard stratified,tinyllama,TinyLlama,homo,Homo,2,1,42.06053398504614,1,42.06053398504614,2,10,38.93576736298945,3.12476662205669,3.962719518979597,True,10,1,0
flora,Linear FLoRA,wiz_stratified,Wizard stratified,tinyllama,TinyLlama,homo,Homo,3,1,38.96556114099866,2,38.96640122941547,6,10,34.91267504195656,4.053726187458906,4.053726187458906,True,10,1,0
flora,Linear FLoRA,wiz_stratified,Wizard stratified,tinyllama,TinyLlama,homo,Homo,5,1,41.04211865978867,1,41.04211865978867,5,10,32.03620603630801,9.005912623480661,9.005912623480661,True,10,1,0
nonlinear_flora,Nonlinear FLoRA Cumulative,dolly,Dolly,tinyllama,TinyLlama,heter,Heter,1,9,31.026771776370715,9,31.026771776370715,9,10,29.638360771718663,1.3884110046520526,1.3884110046520526,True,10,1,0
nonlinear_flora,Nonlinear FLoRA Cumulative,dolly,Dolly,tinyllama,TinyLlama,heter,Heter,2,3,30.01118822469756,6,30.80384931646257,12,10,29.11914510174347,1.6847042147191011,1.6847042147191011,True,10,1,0
nonlinear_flora,Nonlinear FLoRA Cumulative,dolly,Dolly,tinyllama,TinyLlama,heter,Heter,3,3,31.060014077748882,3,31.060014077748882,9,10,28.58779565251109,2.4722184252377915,3.5658786208599125,True,10,1,0
nonlinear_flora,Nonlinear FLoRA Cumulative,dolly,Dolly,tinyllama,TinyLlama,heter,Heter,5,1,29.147440776539053,1,29.147440776539053,5,10,26.068466205186922,3.0789745713521306,3.2840331193942163,True,10,1,0
nonlinear_flora,Nonlinear FLoRA Cumulative,dolly,Dolly,tinyllama,TinyLlama,homo,Homo,1,5,27.327845122847588,10,28.322168858089565,10,10,28.322168858089565,0.0,0.0,False,10,1,0
nonlinear_flora,Nonlinear FLoRA Cumulative,dolly,Dolly,tinyllama,TinyLlama,homo,Homo,2,3,28.85442998983271,7,29.543345518706527,14,10,29.01702783697486,0.5263176817316655,0.5263176817316655,False,10,1,0
nonlinear_flora,Nonlinear FLoRA Cumulative,dolly,Dolly,tinyllama,TinyLlama,homo,Homo,3,3,30.217557457310612,3,30.217557457310612,9,10,28.55253346246946,1.6650239948411532,3.201768875677363,True,10,1,0
nonlinear_flora,Nonlinear FLoRA Cumulative,dolly,Dolly,tinyllama,TinyLlama,homo,Homo,5,6,29.01387312750692,6,29.01387312750692,30,10,25.916514031317988,3.0973590961889315,3.624535306016025,True,10,1,0
nonlinear_flora,Nonlinear FLoRA Cumulative,dolly_stratified,Dolly stratified,tinyllama,TinyLlama,heter,Heter,1,7,29.838121020158713,7,29.838121020158713,7,10,29.446810771236304,0.39131024892240873,1.3189815859804774,True,10,1,0
nonlinear_flora,Nonlinear FLoRA Cumulative,dolly_stratified,Dolly stratified,tinyllama,TinyLlama,heter,Heter,2,3,28.11795354962013,4,28.958233852372146,8,10,28.047500447909623,0.9107334044625226,1.8919376132161112,True,10,1,0
nonlinear_flora,Nonlinear FLoRA Cumulative,dolly_stratified,Dolly stratified,tinyllama,TinyLlama,heter,Heter,3,2,30.096827805285802,2,30.096827805285802,6,10,29.707429381652457,0.3893984236333452,3.741695778091568,True,10,1,0
nonlinear_flora,Nonlinear FLoRA Cumulative,dolly_stratified,Dolly stratified,tinyllama,TinyLlama,heter,Heter,5,1,28.55533392947922,1,28.55533392947922,5,10,26.40047534178798,2.1548585876912405,3.2497132409328557,True,10,1,0
nonlinear_flora,Nonlinear FLoRA Cumulative,dolly_stratified,Dolly stratified,tinyllama,TinyLlama,homo,Homo,1,4,27.623167078543275,10,27.91626263970389,10,10,27.91626263970389,0.0,0.0,False,10,1,0
nonlinear_flora,Nonlinear FLoRA Cumulative,dolly_stratified,Dolly stratified,tinyllama,TinyLlama,homo,Homo,2,6,29.711140580548346,6,29.711140580548346,12,10,27.249142196928332,2.4619983836200134,3.1820496031669876,True,10,1,0
nonlinear_flora,Nonlinear FLoRA Cumulative,dolly_stratified,Dolly stratified,tinyllama,TinyLlama,homo,Homo,3,2,28.468738416487206,3,28.511577306444313,9,10,27.20058534666052,1.3109919597837916,2.0038140222359786,True,10,1,0
nonlinear_flora,Nonlinear FLoRA Cumulative,dolly_stratified,Dolly stratified,tinyllama,TinyLlama,homo,Homo,5,1,28.501332071875236,1,28.501332071875236,5,10,28.193077668628426,0.30825440324680997,2.277068482745417,True,10,1,0
nonlinear_flora,Nonlinear FLoRA Cumulative,wiz,Wizard,tinyllama,TinyLlama,heter,Heter,1,2,40.637648857323946,10,40.75082893552834,10,10,40.75082893552834,0.0,0.0,False,10,1,0
nonlinear_flora,Nonlinear FLoRA Cumulative,wiz,Wizard,tinyllama,TinyLlama,heter,Heter,2,2,43.14543861560761,5,43.80033216857398,10,10,41.08861160773231,2.7117205608416697,3.4390957439807934,True,10,1,0
nonlinear_flora,Nonlinear FLoRA Cumulative,wiz,Wizard,tinyllama,TinyLlama,heter,Heter,3,1,44.126889822266726,1,44.126889822266726,3,10,38.08582787435301,6.041061947913718,6.413226993090468,True,10,1,0
