Method key,Method,Dataset,Dataset label,Model key,Model,Setting key,Setting,Local epochs,Plateau round,Plateau accuracy,Best round,Best accuracy,Max round observed,Declined after best
flora,Linear FLoRA,dolly_stratified,Dolly stratified,tinyllama,TinyLlama,heter,Heter,5,1,28.335098379205913,3,28.488122144311152,10,True
flora,Linear FLoRA,dolly_stratified,Dolly stratified,tinyllama,TinyLlama,homo,Homo,1,4,28.075547991262916,5,28.632243921249316,10,True
flora,Linear FLoRA,dolly_stratified,Dolly stratified,tinyllama,TinyLlama,homo,Homo,2,2,28.499362960700335,9,28.77335344977812,10,False
flora,Linear FLoRA,dolly_stratified,Dolly stratified,tinyllama,TinyLlama,homo,Homo,3,2,28.846910496548638,8,29.165202821828203,10,True
flora,Linear FLoRA,dolly_stratified,Dolly stratified,tinyllama,TinyLlama,homo,Homo,5,4,29.614578378920374,4,29.614578378920374,10,True
flora,Linear FLoRA,wiz,Wizard,tinyllama,TinyLlama,heter,Heter,1,1,42.09638351770471,2,42.154465751529465,10,True
flora,Linear FLoRA,wiz,Wizard,tinyllama,TinyLlama,heter,Heter,2,1,44.27272264988395,5,44.68460555687419,10,True
flora,Linear FLoRA,wiz,Wizard,tinyllama,TinyLlama,heter,Heter,3,1,46.216901483508074,1,46.216901483508074,10,True
flora,Linear FLoRA,wiz,Wizard,tinyllama,TinyLlama,heter,Heter,5,1,46.06484928810766,1,46.06484928810766,10,True
flora,Linear FLoRA,wiz,Wizard,tinyllama,TinyLlama,homo,Homo,1,1,45.100873212020446,1,45.100873212020446,10,True
flora,Linear FLoRA,wiz,Wizard,tinyllama,TinyLlama,homo,Homo,2,3,43.32040114715666,5,43.332710945166696,10,True
flora,Linear FLoRA,wiz,Wizard,tinyllama,TinyLlama,homo,Homo,3,1,36.82410660637841,2,37.64734670432514,10,True
flora,Linear FLoRA,wiz,Wizard,tinyllama,TinyLlama,homo,Homo,5,1,40.22545299620975,1,40.22545299620975,10,True
flora,Linear FLoRA,wiz_stratified,Wizard stratified,tinyllama,TinyLlama,heter,Heter,1,2,44.55370053034588,2,44.55370053034588,10,True
flora,Linear FLoRA,wiz_stratified,Wizard stratified,tinyllama,TinyLlama,heter,Heter,2,1,43.17941780344309,7,43.20431654274306,10,True
flora,Linear FLoRA,wiz_stratified,Wizard stratified,tinyllama,TinyLlama,heter,Heter,3,1,45.736471619380225,1,45.736471619380225,10,True
flora,Linear FLoRA,wiz_stratified,Wizard stratified,tinyllama,TinyLlama,heter,Heter,5,1,42.251335180609416,1,42.251335180609416,10,True
