Method key,Method,Dataset,Dataset label,Model key,Model,Setting key,Setting,Local epochs,Round,Accuracy,Previous round,Previous accuracy,Marginal accuracy gain,Compute cost
ffa,Nonlinear FFA,dolly,Dolly,tinyllama,TinyLlama,homo,Homo,1,7,28.860155876374566,6,29.293624081751457,-0.4334682053768901,7
ffa,Nonlinear FFA,dolly,Dolly,tinyllama,TinyLlama,homo,Homo,1,8,27.657774500786342,7,28.860155876374566,-1.2023813755882244,8
ffa,Nonlinear FFA,dolly,Dolly,tinyllama,TinyLlama,homo,Homo,1,9,28.501847165791066,8,27.657774500786342,0.8440726650047239,9
ffa,Nonlinear FFA,dolly,Dolly,tinyllama,TinyLlama,homo,Homo,1,10,28.810735801387526,9,28.501847165791066,0.3088886355964604,10
ffa,Nonlinear FFA,dolly,Dolly,tinyllama,TinyLlama,homo,Homo,2,2,24.089616745270042,1,17.424113974089277,6.6655027711807655,4
ffa,Nonlinear FFA,dolly,Dolly,tinyllama,TinyLlama,homo,Homo,2,3,29.901496671286427,2,24.089616745270042,5.811879926016385,6
ffa,Nonlinear FFA,dolly,Dolly,tinyllama,TinyLlama,homo,Homo,2,4,28.750279975984398,3,29.901496671286427,-1.151216695302029,8
ffa,Nonlinear FFA,dolly,Dolly,tinyllama,TinyLlama,homo,Homo,2,5,28.389198599239197,4,28.750279975984398,-0.3610813767452008,10
ffa,Nonlinear FFA,dolly,Dolly,tinyllama,TinyLlama,homo,Homo,2,6,27.54206831027215,5,28.389198599239197,-0.8471302889670476,12
ffa,Nonlinear FFA,dolly,Dolly,tinyllama,TinyLlama,homo,Homo,2,7,28.54578655868712,6,27.54206831027215,1.0037182484149696,14
ffa,Nonlinear FFA,dolly,Dolly,tinyllama,TinyLlama,homo,Homo,2,8,27.808687335839423,7,28.54578655868712,-0.7370992228476965,16
ffa,Nonlinear FFA,dolly,Dolly,tinyllama,TinyLlama,homo,Homo,2,9,30.310144399754986,8,27.808687335839423,2.501457063915563,18
ffa,Nonlinear FFA,dolly,Dolly,tinyllama,TinyLlama,homo,Homo,2,10,29.54508980050151,9,30.310144399754986,-0.7650545992534745,20
ffa,Nonlinear FFA,dolly,Dolly,tinyllama,TinyLlama,homo,Homo,3,2,27.563013746073224,1,19.702043821918743,7.860969924154482,6
ffa,Nonlinear FFA,dolly,Dolly,tinyllama,TinyLlama,homo,Homo,3,3,28.204301574471042,2,27.563013746073224,0.6412878283978181,9
ffa,Nonlinear FFA,dolly,Dolly,tinyllama,TinyLlama,homo,Homo,3,4,29.321431473859043,3,28.204301574471042,1.1171298993880008,12
ffa,Nonlinear FFA,dolly,Dolly,tinyllama,TinyLlama,homo,Homo,3,5,28.97318645408597,4,29.321431473859043,-0.3482450197730742,15
ffa,Nonlinear FFA,dolly,Dolly,tinyllama,TinyLlama,homo,Homo,3,6,28.9555045369498,5,28.97318645408597,-0.01768191713616929,18
ffa,Nonlinear FFA,dolly,Dolly,tinyllama,TinyLlama,homo,Homo,3,7,29.560024286637205,6,28.9555045369498,0.6045197496874053,21
ffa,Nonlinear FFA,dolly,Dolly,tinyllama,TinyLlama,homo,Homo,3,8,29.159106606085818,7,29.560024286637205,-0.40091768055138743,24
ffa,Nonlinear FFA,dolly,Dolly,tinyllama,TinyLlama,homo,Homo,3,9,29.073572801431226,8,29.159106606085818,-0.0855338046545917,27
ffa,Nonlinear FFA,dolly,Dolly,tinyllama,TinyLlama,homo,Homo,3,10,29.449209296555324,9,29.073572801431226,0.37563649512409825,30
ffa,Nonlinear FFA,dolly,Dolly,tinyllama,TinyLlama,homo,Homo,5,2,28.9713980350406,1,24.30039362524154,4.67100440979906,10
ffa,Nonlinear FFA,dolly,Dolly,tinyllama,TinyLlama,homo,Homo,5,3,26.995290869112516,2,28.9713980350406,-1.9761071659280844,15
ffa,Nonlinear FFA,dolly,Dolly,tinyllama,TinyLlama,homo,Homo,5,4,29.816646030836875,3,26.995290869112516,2.821355161724359,20
ffa,Nonlinear FFA,dolly,Dolly,tinyllama,TinyLlama,homo,Homo,5,5,30.348877311446838,4,29.816646030836875,0.5322312806099632,25
ffa,Nonlinear FFA,dolly,Dolly,tinyllama,TinyLlama,homo,Homo,5,6,29.726256956474035,5,30.348877311446838,-0.6226203549728027,30
ffa,Nonlinear FFA,dolly,Dolly,tinyllama,TinyLlama,homo,Homo,5,7,30.873034360682343,6,29.726256956474035,1.1467774042083079,35
ffa,Nonlinear FFA,dolly,Dolly,tinyllama,TinyLlama,homo,Homo,5,8,29.476836870750837,7,30.873034360682343,-1.396197489931506,40
ffa,Nonlinear FFA,dolly,Dolly,tinyllama,TinyLlama,homo,Homo,5,9,28.960025220258682,8,29.476836870750837,-0.5168116504921549,45
ffa,Nonlinear FFA,dolly,Dolly,tinyllama,TinyLlama,homo,Homo,5,10,29.18985189165965,9,28.960025220258682,0.2298266714009678,50
ffa,Nonlinear FFA,dolly_stratified,Dolly stratified,tinyllama,TinyLlama,heter,Heter,1,2,19.955074579294326,1,18.32076348701427,1.6343110922800577,2
ffa,Nonlinear FFA,dolly_stratified,Dolly stratified,tinyllama,TinyLlama,heter,Heter,1,3,21.297598687832863,2,19.955074579294326,1.3425241085385373,3
ffa,Nonlinear FFA,dolly_stratified,Dolly stratified,tinyllama,TinyLlama,heter,Heter,1,4,21.98872992264974,3,21.297598687832863,0.6911312348168757,4
ffa,Nonlinear FFA,dolly_stratified,Dolly stratified,tinyllama,TinyLlama,heter,Heter,1,5,22.488107027375445,4,21.98872992264974,0.4993771047257063,5
ffa,Nonlinear FFA,dolly_stratified,Dolly stratified,tinyllama,TinyLlama,heter,Heter,1,6,25.592671724160294,5,22.488107027375445,3.1045646967848484,6
ffa,Nonlinear FFA,dolly_stratified,Dolly stratified,tinyllama,TinyLlama,heter,Heter,1,7,24.50469631179817,6,25.592671724160294,-1.0879754123621233,7
ffa,Nonlinear FFA,dolly_stratified,Dolly stratified,tinyllama,TinyLlama,heter,Heter,1,8,25.997902444933825,7,24.50469631179817,1.4932061331356543,8
ffa,Nonlinear FFA,dolly_stratified,Dolly stratified,tinyllama,TinyLlama,heter,Heter,1,9,26.404860293623685,8,25.997902444933825,0.40695784868985996,9
ffa,Nonlinear FFA,dolly_stratified,Dolly stratified,tinyllama,TinyLlama,heter,Heter,1,10,26.28020641367587,9,26.404860293623685,-0.12465387994781452,10
ffa,Nonlinear FFA,dolly_stratified,Dolly stratified,tinyllama,TinyLlama,heter,Heter,2,2,25.10452253431818,1,19.444955249787988,5.6595672845301905,4
ffa,Nonlinear FFA,dolly_stratified,Dolly stratified,tinyllama,TinyLlama,heter,Heter,2,3,24.979742179158173,2,25.10452253431818,-0.12478035516000574,6
ffa,Nonlinear FFA,dolly_stratified,Dolly stratified,tinyllama,TinyLlama,heter,Heter,2,4,25.263251165104045,3,24.979742179158173,0.2835089859458719,8
ffa,Nonlinear FFA,dolly_stratified,Dolly stratified,tinyllama,TinyLlama,heter,Heter,2,5,27.69211895332363,4,25.263251165104045,2.428867788219584,10
ffa,Nonlinear FFA,dolly_stratified,Dolly stratified,tinyllama,TinyLlama,heter,Heter,2,6,27.145402210994202,5,27.69211895332363,-0.5467167423294264,12
ffa,Nonlinear FFA,dolly_stratified,Dolly stratified,tinyllama,TinyLlama,heter,Heter,2,7,27.575156568454556,6,27.145402210994202,0.42975435746035373,14
ffa,Nonlinear FFA,dolly_stratified,Dolly stratified,tinyllama,TinyLlama,heter,Heter,2,8,27.593233936698976,7,27.575156568454556,0.018077368244419745,16
ffa,Nonlinear FFA,dolly_stratified,Dolly stratified,tinyllama,TinyLlama,heter,Heter,2,9,28.423145051655762,8,27.593233936698976,0.8299111149567864,18
ffa,Nonlinear FFA,dolly_stratified,Dolly stratified,tinyllama,TinyLlama,heter,Heter,2,10,25.922830166480527,9,28.423145051655762,-2.5003148851752357,20
ffa,Nonlinear FFA,dolly_stratified,Dolly stratified,tinyllama,TinyLlama,heter,Heter,3,2,25.567804585243092,1,23.32597960177428,2.2418249834688133,6
ffa,Nonlinear FFA,dolly_stratified,Dolly stratified,tinyllama,TinyLlama,heter,Heter,3,3,27.601900551512376,2,25.567804585243092,2.034095966269284,9
ffa,Nonlinear FFA,dolly_stratified,Dolly stratified,tinyllama,TinyLlama,heter,Heter,3,4,25.268655349912645,3,27.601900551512376,-2.3332452015997305,12
ffa,Nonlinear FFA,dolly_stratified,Dolly stratified,tinyllama,TinyLlama,heter,Heter,3,5,29.619329742120637,4,25.268655349912645,4.350674392207992,15
ffa,Nonlinear FFA,dolly_stratified,Dolly stratified,tinyllama,TinyLlama,heter,Heter,3,6,27.92600044044117,5,29.619329742120637,-1.6933293016794657,18
ffa,Nonlinear FFA,dolly_stratified,Dolly stratified,tinyllama,TinyLlama,heter,Heter,3,7,28.16353547830107,6,27.92600044044117,0.2375350378598995,21
ffa,Nonlinear FFA,dolly_stratified,Dolly stratified,tinyllama,TinyLlama,heter,Heter,3,8,28.93448541122181,7,28.16353547830107,0.7709499329207397,24
ffa,Nonlinear FFA,dolly_stratified,Dolly stratified,tinyllama,TinyLlama,heter,Heter,3,9,28.606487071755858,8,28.93448541122181,-0.32799833946595314,27
ffa,Nonlinear FFA,dolly_stratified,Dolly stratified,tinyllama,TinyLlama,heter,Heter,3,10,27.944404334391443,9,28.606487071755858,-0.6620827373644147,30
ffa,Nonlinear FFA,dolly_stratified,Dolly stratified,tinyllama,TinyLlama,heter,Heter,5,2,26.835100796820736,1,25.121678527954604,1.7134222688661325,10
ffa,Nonlinear FFA,dolly_stratified,Dolly stratified,tinyllama,TinyLlama,heter,Heter,5,3,26.90129302282639,2,26.835100796820736,0.06619222600565422,15
ffa,Nonlinear FFA,dolly_stratified,Dolly stratified,tinyllama,TinyLlama,heter,Heter,5,4,28.212133550621747,3,26.90129302282639,1.3108405277953565,20
ffa,Nonlinear FFA,dolly_stratified,Dolly stratified,tinyllama,TinyLlama,heter,Heter,5,5,29.458925870359533,4,28.212133550621747,1.2467923197377857,25
ffa,Nonlinear FFA,dolly_stratified,Dolly stratified,tinyllama,TinyLlama,heter,Heter,5,6,27.35703348913242,5,29.458925870359533,-2.1018923812271133,30
ffa,Nonlinear FFA,dolly_stratified,Dolly stratified,tinyllama,TinyLlama,heter,Heter,5,7,29.01219332116927,6,27.35703348913242,1.6551598320368512,35
ffa,Nonlinear FFA,dolly_stratified,Dolly stratified,tinyllama,TinyLlama,heter,Heter,5,8,27.679115370475703,7,29.01219332116927,-1.3330779506935677,40
ffa,Nonlinear FFA,dolly_stratified,Dolly stratified,tinyllama,TinyLlama,heter,Heter,5,9,28.973001141844733,8,27.679115370475703,1.2938857713690304,45
ffa,Nonlinear FFA,dolly_stratified,Dolly stratified,tinyllama,TinyLlama,heter,Heter,5,10,28.898665834128945,9,28.973001141844733,-0.07433530771578845,50
ffa,Nonlinear FFA,dolly_stratified,Dolly stratified,tinyllama,TinyLlama,homo,Homo,1,2,19.161024326830027,1,15.851024247055175,3.310000079774852,2
ffa,Nonlinear FFA,dolly_stratified,Dolly stratified,tinyllama,TinyLlama,homo,Homo,1,3,22.496382578059247,2,19.161024326830027,3.33535825122922,3
ffa,Nonlinear FFA,dolly_stratified,Dolly stratified,tinyllama,TinyLlama,homo,Homo,1,4,26.14937314177006,3,22.496382578059247,3.652990563710812,4
ffa,Nonlinear FFA,dolly_stratified,Dolly stratified,tinyllama,TinyLlama,homo,Homo,1,5,27.398392328683464,4,26.14937314177006,1.2490191869134044,5
