Method key,Method,Dataset,Dataset label,Model key,Model,Setting key,Setting,Local epochs,Config rounds,Seed,Run dir,Score path,Observed rounds,Complete run,Result source,Run status,Round,Accuracy
ffa,Nonlinear FFA,dolly,Dolly,tinyllama,TinyLlama,heter,Heter,2,10,0,epoch_round_tuning_dolly_dirichlet_r10/tuning-ffa-dolly-tinyllama-heter-e2-r10,epoch_round_tuning_dolly_dirichlet_r10/tuning-ffa-dolly-tinyllama-heter-e2-r10/seed0/10/log.txt,10,True,score log,Complete,8,27.230227440256233
ffa,Nonlinear FFA,dolly,Dolly,tinyllama,TinyLlama,heter,Heter,2,10,0,epoch_round_tuning_dolly_dirichlet_r10/tuning-ffa-dolly-tinyllama-heter-e2-r10,epoch_round_tuning_dolly_dirichlet_r10/tuning-ffa-dolly-tinyllama-heter-e2-r10/seed0/10/log.txt,10,True,score log,Complete,9,28.381292508649324
ffa,Nonlinear FFA,dolly,Dolly,tinyllama,TinyLlama,heter,Heter,2,10,0,epoch_round_tuning_dolly_dirichlet_r10/tuning-ffa-dolly-tinyllama-heter-e2-r10,epoch_round_tuning_dolly_dirichlet_r10/tuning-ffa-dolly-tinyllama-heter-e2-r10/seed0/10/log.txt,10,True,score log,Complete,10,27.897415958980826
ffa,Nonlinear FFA,dolly,Dolly,tinyllama,TinyLlama,heter,Heter,3,10,0,epoch_round_tuning_dolly_dirichlet_r10/tuning-ffa-dolly-tinyllama-heter-e3-r10,epoch_round_tuning_dolly_dirichlet_r10/tuning-ffa-dolly-tinyllama-heter-e3-r10/seed0/10/log.txt,10,True,score log,Complete,1,23.82513694558179
ffa,Nonlinear FFA,dolly,Dolly,tinyllama,TinyLlama,heter,Heter,3,10,0,epoch_round_tuning_dolly_dirichlet_r10/tuning-ffa-dolly-tinyllama-heter-e3-r10,epoch_round_tuning_dolly_dirichlet_r10/tuning-ffa-dolly-tinyllama-heter-e3-r10/seed0/10/log.txt,10,True,score log,Complete,2,26.13990019014359
ffa,Nonlinear FFA,dolly,Dolly,tinyllama,TinyLlama,heter,Heter,3,10,0,epoch_round_tuning_dolly_dirichlet_r10/tuning-ffa-dolly-tinyllama-heter-e3-r10,epoch_round_tuning_dolly_dirichlet_r10/tuning-ffa-dolly-tinyllama-heter-e3-r10/seed0/10/log.txt,10,True,score log,Complete,3,25.9001561963584
ffa,Nonlinear FFA,dolly,Dolly,tinyllama,TinyLlama,heter,Heter,3,10,0,epoch_round_tuning_dolly_dirichlet_r10/tuning-ffa-dolly-tinyllama-heter-e3-r10,epoch_round_tuning_dolly_dirichlet_r10/tuning-ffa-dolly-tinyllama-heter-e3-r10/seed0/10/log.txt,10,True,score log,Complete,4,28.523939458691792
ffa,Nonlinear FFA,dolly,Dolly,tinyllama,TinyLlama,heter,Heter,3,10,0,epoch_round_tuning_dolly_dirichlet_r10/tuning-ffa-dolly-tinyllama-heter-e3-r10,epoch_round_tuning_dolly_dirichlet_r10/tuning-ffa-dolly-tinyllama-heter-e3-r10/seed0/10/log.txt,10,True,score log,Complete,5,27.673606481826308
ffa,Nonlinear FFA,dolly,Dolly,tinyllama,TinyLlama,heter,Heter,3,10,0,epoch_round_tuning_dolly_dirichlet_r10/tuning-ffa-dolly-tinyllama-heter-e3-r10,epoch_round_tuning_dolly_dirichlet_r10/tuning-ffa-dolly-tinyllama-heter-e3-r10/seed0/10/log.txt,10,True,score log,Complete,6,28.99100474013072
ffa,Nonlinear FFA,dolly,Dolly,tinyllama,TinyLlama,heter,Heter,3,10,0,epoch_round_tuning_dolly_dirichlet_r10/tuning-ffa-dolly-tinyllama-heter-e3-r10,epoch_round_tuning_dolly_dirichlet_r10/tuning-ffa-dolly-tinyllama-heter-e3-r10/seed0/10/log.txt,10,True,score log,Complete,7,27.484371470894807
ffa,Nonlinear FFA,dolly,Dolly,tinyllama,TinyLlama,heter,Heter,3,10,0,epoch_round_tuning_dolly_dirichlet_r10/tuning-ffa-dolly-tinyllama-heter-e3-r10,epoch_round_tuning_dolly_dirichlet_r10/tuning-ffa-dolly-tinyllama-heter-e3-r10/seed0/10/log.txt,10,True,score log,Complete,8,26.032747702455694
ffa,Nonlinear FFA,dolly,Dolly,tinyllama,TinyLlama,heter,Heter,3,10,0,epoch_round_tuning_dolly_dirichlet_r10/tuning-ffa-dolly-tinyllama-heter-e3-r10,epoch_round_tuning_dolly_dirichlet_r10/tuning-ffa-dolly-tinyllama-heter-e3-r10/seed0/10/log.txt,10,True,score log,Complete,9,28.5678930566718
ffa,Nonlinear FFA,dolly,Dolly,tinyllama,TinyLlama,heter,Heter,3,10,0,epoch_round_tuning_dolly_dirichlet_r10/tuning-ffa-dolly-tinyllama-heter-e3-r10,epoch_round_tuning_dolly_dirichlet_r10/tuning-ffa-dolly-tinyllama-heter-e3-r10/seed0/10/log.txt,10,True,score log,Complete,10,27.40488571251973
ffa,Nonlinear FFA,dolly,Dolly,tinyllama,TinyLlama,heter,Heter,5,10,0,epoch_round_tuning_dolly_dirichlet_r10/tuning-ffa-dolly-tinyllama-heter-e5-r10,epoch_round_tuning_dolly_dirichlet_r10/tuning-ffa-dolly-tinyllama-heter-e5-r10/seed0/10/log.txt,10,True,score log,Complete,1,26.351499449485623
ffa,Nonlinear FFA,dolly,Dolly,tinyllama,TinyLlama,heter,Heter,5,10,0,epoch_round_tuning_dolly_dirichlet_r10/tuning-ffa-dolly-tinyllama-heter-e5-r10,epoch_round_tuning_dolly_dirichlet_r10/tuning-ffa-dolly-tinyllama-heter-e5-r10/seed0/10/log.txt,10,True,score log,Complete,2,27.477805924216003
ffa,Nonlinear FFA,dolly,Dolly,tinyllama,TinyLlama,heter,Heter,5,10,0,epoch_round_tuning_dolly_dirichlet_r10/tuning-ffa-dolly-tinyllama-heter-e5-r10,epoch_round_tuning_dolly_dirichlet_r10/tuning-ffa-dolly-tinyllama-heter-e5-r10/seed0/10/log.txt,10,True,score log,Complete,3,27.33749721857885
