Method key,Method,Dataset,Dataset label,Model key,Model,Setting key,Setting,Local epochs,Round,Result source,Run status,Mean accuracy,Std accuracy,Seed count,Seeds,Max config rounds,Compute cost
ffa,Nonlinear FFA,dolly,Dolly,tinyllama,TinyLlama,homo,Homo,1,3,score log,Complete,23.863084377707665,0.0,1,0,10,3
ffa,Nonlinear FFA,dolly,Dolly,tinyllama,TinyLlama,homo,Homo,1,4,score log,Complete,25.41641902026876,0.0,1,0,10,4
ffa,Nonlinear FFA,dolly,Dolly,tinyllama,TinyLlama,homo,Homo,1,5,score log,Complete,27.537301801330944,0.0,1,0,10,5
ffa,Nonlinear FFA,dolly,Dolly,tinyllama,TinyLlama,homo,Homo,1,6,score log,Complete,29.293624081751457,0.0,1,0,10,6
ffa,Nonlinear FFA,dolly,Dolly,tinyllama,TinyLlama,homo,Homo,1,7,score log,Complete,28.860155876374566,0.0,1,0,10,7
ffa,Nonlinear FFA,dolly,Dolly,tinyllama,TinyLlama,homo,Homo,1,8,score log,Complete,27.657774500786342,0.0,1,0,10,8
ffa,Nonlinear FFA,dolly,Dolly,tinyllama,TinyLlama,homo,Homo,1,9,score log,Complete,28.501847165791066,0.0,1,0,10,9
ffa,Nonlinear FFA,dolly,Dolly,tinyllama,TinyLlama,homo,Homo,1,10,score log,Complete,28.810735801387526,0.0,1,0,10,10
ffa,Nonlinear FFA,dolly,Dolly,tinyllama,TinyLlama,homo,Homo,2,1,score log,Complete,17.424113974089277,0.0,1,0,10,2
ffa,Nonlinear FFA,dolly,Dolly,tinyllama,TinyLlama,homo,Homo,2,2,score log,Complete,24.089616745270042,0.0,1,0,10,4
ffa,Nonlinear FFA,dolly,Dolly,tinyllama,TinyLlama,homo,Homo,2,3,score log,Complete,29.901496671286427,0.0,1,0,10,6
ffa,Nonlinear FFA,dolly,Dolly,tinyllama,TinyLlama,homo,Homo,2,4,score log,Complete,28.750279975984398,0.0,1,0,10,8
ffa,Nonlinear FFA,dolly,Dolly,tinyllama,TinyLlama,homo,Homo,2,5,score log,Complete,28.389198599239197,0.0,1,0,10,10
ffa,Nonlinear FFA,dolly,Dolly,tinyllama,TinyLlama,homo,Homo,2,6,score log,Complete,27.54206831027215,0.0,1,0,10,12
ffa,Nonlinear FFA,dolly,Dolly,tinyllama,TinyLlama,homo,Homo,2,7,score log,Complete,28.54578655868712,0.0,1,0,10,14
ffa,Nonlinear FFA,dolly,Dolly,tinyllama,TinyLlama,homo,Homo,2,8,score log,Complete,27.808687335839423,0.0,1,0,10,16
ffa,Nonlinear FFA,dolly,Dolly,tinyllama,TinyLlama,homo,Homo,2,9,score log,Complete,30.310144399754986,0.0,1,0,10,18
ffa,Nonlinear FFA,dolly,Dolly,tinyllama,TinyLlama,homo,Homo,2,10,score log,Complete,29.54508980050151,0.0,1,0,10,20
ffa,Nonlinear FFA,dolly,Dolly,tinyllama,TinyLlama,homo,Homo,3,1,score log,Complete,19.702043821918743,0.0,1,0,10,3
ffa,Nonlinear FFA,dolly,Dolly,tinyllama,TinyLlama,homo,Homo,3,2,score log,Complete,27.563013746073224,0.0,1,0,10,6
ffa,Nonlinear FFA,dolly,Dolly,tinyllama,TinyLlama,homo,Homo,3,3,score log,Complete,28.204301574471042,0.0,1,0,10,9
