Method key,Method,Dataset,Dataset label,Model key,Model,Setting key,Setting,Round,Oracle epochs,Oracle accuracy,Smoothed epochs,Smoothed accuracy,Oracle gain over current epoch,Meaningful switch,Switch threshold,Compute cost
ffa,Nonlinear FFA,dolly_stratified,Dolly stratified,tinyllama,TinyLlama,homo,Homo,8,5,30.705571806875405,3,30.318378997843563,0.3871928090318413,False,0.5,24
ffa,Nonlinear FFA,dolly_stratified,Dolly stratified,tinyllama,TinyLlama,homo,Homo,9,5,30.968776637827954,5,30.968776637827954,1.1833624271462178,True,0.5,45
ffa,Nonlinear FFA,dolly_stratified,Dolly stratified,tinyllama,TinyLlama,homo,Homo,10,3,31.264767281439244,3,31.264767281439244,2.807841978285442,True,0.5,30
ffa,Nonlinear FFA,wiz,Wizard,tinyllama,TinyLlama,heter,Heter,1,5,30.85645266834172,5,30.85645266834172,0.0,False,0.5,5
ffa,Nonlinear FFA,wiz,Wizard,tinyllama,TinyLlama,heter,Heter,2,5,33.11990978473841,5,33.11990978473841,0.0,False,0.5,10
ffa,Nonlinear FFA,wiz,Wizard,tinyllama,TinyLlama,heter,Heter,3,5,32.64883936141125,5,32.64883936141125,0.0,False,0.5,15
ffa,Nonlinear FFA,wiz,Wizard,tinyllama,TinyLlama,heter,Heter,4,2,33.03217713179109,2,33.03217713179109,1.072485642678906,True,0.5,8
ffa,Nonlinear FFA,wiz,Wizard,tinyllama,TinyLlama,heter,Heter,5,2,32.427153109769165,2,32.427153109769165,0.0,False,0.5,10
ffa,Nonlinear FFA,wiz,Wizard,tinyllama,TinyLlama,heter,Heter,6,1,33.19234141611857,1,33.19234141611857,1.0816217508829027,True,0.5,6
ffa,Nonlinear FFA,wiz,Wizard,tinyllama,TinyLlama,heter,Heter,7,5,33.559651489261775,1,33.49739861895184,0.06225287030993343,False,0.5,7
ffa,Nonlinear FFA,wiz,Wizard,tinyllama,TinyLlama,heter,Heter,8,1,33.02129157096672,1,33.02129157096672,0.0,False,0.5,8
ffa,Nonlinear FFA,wiz,Wizard,tinyllama,TinyLlama,heter,Heter,9,5,32.21379006636601,1,32.01699222466512,0.1967978417008922,False,0.5,9
ffa,Nonlinear FFA,wiz,Wizard,tinyllama,TinyLlama,heter,Heter,10,1,33.63478226383233,1,33.63478226383233,0.0,False,0.5,10
ffa,Nonlinear FFA,wiz,Wizard,tinyllama,TinyLlama,homo,Homo,1,2,30.69317878695398,2,30.69317878695398,0.0,False,0.5,2
ffa,Nonlinear FFA,wiz,Wizard,tinyllama,TinyLlama,homo,Homo,2,3,31.422283133364008,2,30.96181905087866,0.4604640824853483,False,0.5,4
ffa,Nonlinear FFA,wiz,Wizard,tinyllama,TinyLlama,homo,Homo,3,1,31.045723327285017,1,31.045723327285017,0.8021750161318337,True,0.5,3
ffa,Nonlinear FFA,wiz,Wizard,tinyllama,TinyLlama,homo,Homo,4,5,31.54860451750488,1,31.50253404322449,0.04607047428039124,False,0.5,4
ffa,Nonlinear FFA,wiz,Wizard,tinyllama,TinyLlama,homo,Homo,5,2,31.226615544961067,2,31.226615544961067,0.5524115696122536,True,0.5,10
ffa,Nonlinear FFA,wiz,Wizard,tinyllama,TinyLlama,homo,Homo,6,1,30.983987070617818,2,30.61082451564477,0.3731625549730495,False,0.5,12
ffa,Nonlinear FFA,wiz,Wizard,tinyllama,TinyLlama,homo,Homo,7,2,30.960876404687777,2,30.960876404687777,0.0,False,0.5,14
ffa,Nonlinear FFA,wiz,Wizard,tinyllama,TinyLlama,homo,Homo,8,1,31.24547863055368,1,31.24547863055368,2.1572834909511727,True,0.5,8
ffa,Nonlinear FFA,wiz,Wizard,tinyllama,TinyLlama,homo,Homo,9,5,29.808592526288546,1,29.735028280498792,0.07356424578975407,False,0.5,9
ffa,Nonlinear FFA,wiz,Wizard,tinyllama,TinyLlama,homo,Homo,10,2,31.152244802940505,2,31.152244802940505,1.3027692181230748,True,0.5,20
ffa,Nonlinear FFA,wiz_stratified,Wizard stratified,tinyllama,TinyLlama,heter,Heter,1,5,30.304244375917698,5,30.304244375917698,0.0,False,0.5,5
ffa,Nonlinear FFA,wiz_stratified,Wizard stratified,tinyllama,TinyLlama,heter,Heter,2,5,31.50314675541451,5,31.50314675541451,0.0,False,0.5,10
ffa,Nonlinear FFA,wiz_stratified,Wizard stratified,tinyllama,TinyLlama,heter,Heter,3,5,33.36740023146743,5,33.36740023146743,0.0,False,0.5,15
ffa,Nonlinear FFA,wiz_stratified,Wizard stratified,tinyllama,TinyLlama,heter,Heter,4,2,32.85450763463717,2,32.85450763463717,2.0039608285832706,True,0.5,8
ffa,Nonlinear FFA,wiz_stratified,Wizard stratified,tinyllama,TinyLlama,heter,Heter,5,3,32.74667537017022,2,32.272822819085334,0.4738525510848888,False,0.5,10
ffa,Nonlinear FFA,wiz_stratified,Wizard stratified,tinyllama,TinyLlama,heter,Heter,6,3,32.29950701197954,3,32.29950701197954,0.6218681952929543,True,0.5,18
ffa,Nonlinear FFA,wiz_stratified,Wizard stratified,tinyllama,TinyLlama,heter,Heter,7,2,32.183055687317804,3,31.92046157500626,0.26259411231154317,False,0.5,21
ffa,Nonlinear FFA,wiz_stratified,Wizard stratified,tinyllama,TinyLlama,heter,Heter,8,1,33.06825306705602,1,33.06825306705602,1.401414963255256,True,0.5,8
ffa,Nonlinear FFA,wiz_stratified,Wizard stratified,tinyllama,TinyLlama,heter,Heter,9,5,32.438626087407854,5,32.438626087407854,0.8528378700318271,True,0.5,45
ffa,Nonlinear FFA,wiz_stratified,Wizard stratified,tinyllama,TinyLlama,heter,Heter,10,3,32.28645874691834,3,32.28645874691834,1.948210560027416,True,0.5,30
ffa,Nonlinear FFA,wiz_stratified,Wizard stratified,tinyllama,TinyLlama,homo,Homo,1,5,32.349736848160674,5,32.349736848160674,0.0,False,0.5,5
ffa,Nonlinear FFA,wiz_stratified,Wizard stratified,tinyllama,TinyLlama,homo,Homo,2,2,31.80994536900661,2,31.80994536900661,1.207951346973502,True,0.5,4
ffa,Nonlinear FFA,wiz_stratified,Wizard stratified,tinyllama,TinyLlama,homo,Homo,3,5,31.645519449205707,5,31.645519449205707,0.5166505638180254,True,0.5,15
ffa,Nonlinear FFA,wiz_stratified,Wizard stratified,tinyllama,TinyLlama,homo,Homo,4,1,31.29403599652349,1,31.29403599652349,0.9122242698949954,True,0.5,4
ffa,Nonlinear FFA,wiz_stratified,Wizard stratified,tinyllama,TinyLlama,homo,Homo,5,2,31.835038377536396,2,31.835038377536396,1.4710342796481193,True,0.5,10
ffa,Nonlinear FFA,wiz_stratified,Wizard stratified,tinyllama,TinyLlama,homo,Homo,6,3,31.84749089318692,3,31.84749089318692,2.636042110644958,True,0.5,18
