Method,Setting,Schedules,Complete runs,Total runs,Min observed rounds,Max observed rounds,Result source
Linear FLoRA,Heter,"e1/r80, e2/r40, e4/r20, e8/r10",4,4,10,80,score log
Nonlinear FFA,Heter,"e1/r80, e2/r40, e4/r20, e8/r10",4,4,10,80,score log
Nonlinear FLoRA Cumulative,Heter,"e1/r80, e2/r40, e4/r20, e8/r10",4,4,10,80,score log
Linear FLoRA,Homo,"e1/r80, e2/r40, e4/r20, e8/r10",4,4,10,80,score log
Nonlinear FFA,Homo,"e1/r80, e2/r40, e4/r20, e8/r10",4,4,10,80,score log
Nonlinear FLoRA Cumulative,Homo,"e1/r80, e2/r40, e4/r20, e8/r10",4,4,10,80,score log
