Method key,Method,Dataset,Dataset label,Model key,Model,Setting key,Setting,Local epochs,Round,Result source,Run status,Mean accuracy,Std accuracy,Seed count,Seeds,Max config rounds,Compute cost
ffa,Nonlinear FFA,rte_stratified,RTE stratified,roberta-base,RoBERTa-base,heter,Heter,1,39,score log,Complete,54.87364620938629,0.0,1,0,80,39
ffa,Nonlinear FFA,rte_stratified,RTE stratified,roberta-base,RoBERTa-base,heter,Heter,1,40,score log,Complete,55.23465703971119,0.0,1,0,80,40
ffa,Nonlinear FFA,rte_stratified,RTE stratified,roberta-base,RoBERTa-base,heter,Heter,1,41,score log,Complete,55.23465703971119,0.0,1,0,80,41
ffa,Nonlinear FFA,rte_stratified,RTE stratified,roberta-base,RoBERTa-base,heter,Heter,1,42,score log,Complete,54.87364620938629,0.0,1,0,80,42
ffa,Nonlinear FFA,rte_stratified,RTE stratified,roberta-base,RoBERTa-base,heter,Heter,1,43,score log,Complete,55.23465703971119,0.0,1,0,80,43
ffa,Nonlinear FFA,rte_stratified,RTE stratified,roberta-base,RoBERTa-base,heter,Heter,1,44,score log,Complete,55.23465703971119,0.0,1,0,80,44
ffa,Nonlinear FFA,rte_stratified,RTE stratified,roberta-base,RoBERTa-base,heter,Heter,1,45,score log,Complete,54.87364620938629,0.0,1,0,80,45
ffa,Nonlinear FFA,rte_stratified,RTE stratified,roberta-base,RoBERTa-base,heter,Heter,1,46,score log,Complete,54.87364620938629,0.0,1,0,80,46
ffa,Nonlinear FFA,rte_stratified,RTE stratified,roberta-base,RoBERTa-base,heter,Heter,1,47,score log,Complete,55.23465703971119,0.0,1,0,80,47
ffa,Nonlinear FFA,rte_stratified,RTE stratified,roberta-base,RoBERTa-base,heter,Heter,1,48,score log,Complete,55.23465703971119,0.0,1,0,80,48
ffa,Nonlinear FFA,rte_stratified,RTE stratified,roberta-base,RoBERTa-base,heter,Heter,1,49,score log,Complete,55.5956678700361,0.0,1,0,80,49
