Method,Setting,Best new option,Best new final accuracy,Baseline e8/r10 final accuracy,Delta vs e8/r10 (pp),Observed seed-0 improvement
Linear FLoRA,Heter,e4/r20,60.64981949458483,60.64981949458483,0.0,False
Nonlinear FFA,Heter,e4/r20,57.761732851985556,56.678700361010826,1.0830324909747304,True
Nonlinear FLoRA Cumulative,Heter,e4/r20,59.56678700361011,61.371841155234655,-1.805054151624546,False
Linear FLoRA,Homo,e4/r20,60.28880866425993,61.73285198555957,-1.4440433212996382,False
Nonlinear FFA,Homo,e2/r40,56.678700361010826,56.678700361010826,0.0,False
Nonlinear FLoRA Cumulative,Homo,e4/r20,58.844765342960294,59.56678700361011,-0.7220216606498155,False
