Method key,Method,Dataset,Dataset label,Model key,Model,Setting key,Setting,Local epochs,Round,Accuracy,Previous round,Previous accuracy,Marginal accuracy gain,Compute cost
ffa,Nonlinear FFA,rte_stratified,RTE stratified,roberta-base,RoBERTa-base,heter,Heter,8,3,58.48375451263538,2,58.12274368231047,0.36101083032490777,24
ffa,Nonlinear FFA,rte_stratified,RTE stratified,roberta-base,RoBERTa-base,heter,Heter,8,4,57.400722021660656,3,58.48375451263538,-1.0830324909747233,32
ffa,Nonlinear FFA,rte_stratified,RTE stratified,roberta-base,RoBERTa-base,heter,Heter,8,5,57.400722021660656,4,57.400722021660656,0.0,40
ffa,Nonlinear FFA,rte_stratified,RTE stratified,roberta-base,RoBERTa-base,heter,Heter,8,6,57.400722021660656,5,57.400722021660656,0.0,48
ffa,Nonlinear FFA,rte_stratified,RTE stratified,roberta-base,RoBERTa-base,heter,Heter,8,7,57.400722021660656,6,57.400722021660656,0.0,56
ffa,Nonlinear FFA,rte_stratified,RTE stratified,roberta-base,RoBERTa-base,heter,Heter,8,8,56.678700361010826,7,57.400722021660656,-0.7220216606498298,64
ffa,Nonlinear FFA,rte_stratified,RTE stratified,roberta-base,RoBERTa-base,heter,Heter,8,9,57.03971119133574,8,56.678700361010826,0.3610108303249149,72
ffa,Nonlinear FFA,rte_stratified,RTE stratified,roberta-base,RoBERTa-base,heter,Heter,8,10,56.678700361010826,9,57.03971119133574,-0.3610108303249149,80
ffa,Nonlinear FFA,rte_stratified,RTE stratified,roberta-base,RoBERTa-base,homo,Homo,1,2,53.068592057761734,1,47.292418772563174,5.77617328519856,2
ffa,Nonlinear FFA,rte_stratified,RTE stratified,roberta-base,RoBERTa-base,homo,Homo,1,3,46.20938628158845,2,53.068592057761734,-6.859205776173283,3
ffa,Nonlinear FFA,rte_stratified,RTE stratified,roberta-base,RoBERTa-base,homo,Homo,1,4,56.317689530685925,3,46.20938628158845,10.108303249097474,4
ffa,Nonlinear FFA,rte_stratified,RTE stratified,roberta-base,RoBERTa-base,homo,Homo,1,5,50.54151624548736,4,56.317689530685925,-5.776173285198567,5
ffa,Nonlinear FFA,rte_stratified,RTE stratified,roberta-base,RoBERTa-base,homo,Homo,1,6,54.151624548736464,5,50.54151624548736,3.610108303249106,6
ffa,Nonlinear FFA,rte_stratified,RTE stratified,roberta-base,RoBERTa-base,homo,Homo,1,7,51.624548736462096,6,54.151624548736464,-2.5270758122743686,7
ffa,Nonlinear FFA,rte_stratified,RTE stratified,roberta-base,RoBERTa-base,homo,Homo,1,8,52.34657039711191,7,51.624548736462096,0.7220216606498155,8
ffa,Nonlinear FFA,rte_stratified,RTE stratified,roberta-base,RoBERTa-base,homo,Homo,1,9,51.624548736462096,8,52.34657039711191,-0.7220216606498155,9
ffa,Nonlinear FFA,rte_stratified,RTE stratified,roberta-base,RoBERTa-base,homo,Homo,1,10,51.985559566786996,9,51.624548736462096,0.36101083032490067,10
ffa,Nonlinear FFA,rte_stratified,RTE stratified,roberta-base,RoBERTa-base,homo,Homo,2,2,52.34657039711191,1,54.51263537906137,-2.166064981949461,4
ffa,Nonlinear FFA,rte_stratified,RTE stratified,roberta-base,RoBERTa-base,homo,Homo,2,3,55.95667870036101,2,52.34657039711191,3.610108303249099,6
ffa,Nonlinear FFA,rte_stratified,RTE stratified,roberta-base,RoBERTa-base,homo,Homo,2,4,56.317689530685925,3,55.95667870036101,0.3610108303249149,8
ffa,Nonlinear FFA,rte_stratified,RTE stratified,roberta-base,RoBERTa-base,homo,Homo,2,5,58.48375451263538,4,56.317689530685925,2.1660649819494537,10
ffa,Nonlinear FFA,rte_stratified,RTE stratified,roberta-base,RoBERTa-base,homo,Homo,2,6,55.23465703971119,5,58.48375451263538,-3.2490974729241913,12
ffa,Nonlinear FFA,rte_stratified,RTE stratified,roberta-base,RoBERTa-base,homo,Homo,2,7,54.151624548736464,6,55.23465703971119,-1.0830324909747233,14
ffa,Nonlinear FFA,rte_stratified,RTE stratified,roberta-base,RoBERTa-base,homo,Homo,2,8,54.87364620938629,7,54.151624548736464,0.7220216606498226,16
ffa,Nonlinear FFA,rte_stratified,RTE stratified,roberta-base,RoBERTa-base,homo,Homo,2,9,54.87364620938629,8,54.87364620938629,0.0,18
ffa,Nonlinear FFA,rte_stratified,RTE stratified,roberta-base,RoBERTa-base,homo,Homo,2,10,54.51263537906137,9,54.87364620938629,-0.3610108303249149,20
ffa,Nonlinear FFA,rte_stratified,RTE stratified,roberta-base,RoBERTa-base,homo,Homo,3,2,55.5956678700361,1,52.707581227436826,2.8880866425992764,6
ffa,Nonlinear FFA,rte_stratified,RTE stratified,roberta-base,RoBERTa-base,homo,Homo,3,3,55.5956678700361,2,55.5956678700361,0.0,9
ffa,Nonlinear FFA,rte_stratified,RTE stratified,roberta-base,RoBERTa-base,homo,Homo,3,4,54.51263537906137,3,55.5956678700361,-1.0830324909747304,12
ffa,Nonlinear FFA,rte_stratified,RTE stratified,roberta-base,RoBERTa-base,homo,Homo,3,5,54.151624548736464,4,54.51263537906137,-0.36101083032490777,15
ffa,Nonlinear FFA,rte_stratified,RTE stratified,roberta-base,RoBERTa-base,homo,Homo,3,6,54.87364620938629,5,54.151624548736464,0.7220216606498226,18
ffa,Nonlinear FFA,rte_stratified,RTE stratified,roberta-base,RoBERTa-base,homo,Homo,3,7,54.51263537906137,6,54.87364620938629,-0.3610108303249149,21
ffa,Nonlinear FFA,rte_stratified,RTE stratified,roberta-base,RoBERTa-base,homo,Homo,3,8,54.151624548736464,7,54.51263537906137,-0.36101083032490777,24
ffa,Nonlinear FFA,rte_stratified,RTE stratified,roberta-base,RoBERTa-base,homo,Homo,3,9,54.87364620938629,8,54.151624548736464,0.7220216606498226,27
ffa,Nonlinear FFA,rte_stratified,RTE stratified,roberta-base,RoBERTa-base,homo,Homo,3,10,54.151624548736464,9,54.87364620938629,-0.7220216606498226,30
ffa,Nonlinear FFA,rte_stratified,RTE stratified,roberta-base,RoBERTa-base,homo,Homo,5,2,55.23465703971119,1,55.5956678700361,-0.3610108303249149,10
ffa,Nonlinear FFA,rte_stratified,RTE stratified,roberta-base,RoBERTa-base,homo,Homo,5,3,55.23465703971119,2,55.23465703971119,0.0,15
ffa,Nonlinear FFA,rte_stratified,RTE stratified,roberta-base,RoBERTa-base,homo,Homo,5,4,55.5956678700361,3,55.23465703971119,0.3610108303249149,20
ffa,Nonlinear FFA,rte_stratified,RTE stratified,roberta-base,RoBERTa-base,homo,Homo,5,5,54.51263537906137,4,55.5956678700361,-1.0830324909747304,25
ffa,Nonlinear FFA,rte_stratified,RTE stratified,roberta-base,RoBERTa-base,homo,Homo,5,6,55.95667870036101,5,54.51263537906137,1.4440433212996382,30
ffa,Nonlinear FFA,rte_stratified,RTE stratified,roberta-base,RoBERTa-base,homo,Homo,5,7,55.23465703971119,6,55.95667870036101,-0.7220216606498226,35
ffa,Nonlinear FFA,rte_stratified,RTE stratified,roberta-base,RoBERTa-base,homo,Homo,5,8,56.678700361010826,7,55.23465703971119,1.4440433212996382,40
ffa,Nonlinear FFA,rte_stratified,RTE stratified,roberta-base,RoBERTa-base,homo,Homo,5,9,56.678700361010826,8,56.678700361010826,0.0,45
ffa,Nonlinear FFA,rte_stratified,RTE stratified,roberta-base,RoBERTa-base,homo,Homo,5,10,56.317689530685925,9,56.678700361010826,-0.36101083032490067,50
ffa,Nonlinear FFA,rte_stratified,RTE stratified,roberta-base,RoBERTa-base,homo,Homo,8,2,58.48375451263538,1,57.761732851985556,0.7220216606498226,16
ffa,Nonlinear FFA,rte_stratified,RTE stratified,roberta-base,RoBERTa-base,homo,Homo,8,3,58.48375451263538,2,58.48375451263538,0.0,24
ffa,Nonlinear FFA,rte_stratified,RTE stratified,roberta-base,RoBERTa-base,homo,Homo,8,4,56.317689530685925,3,58.48375451263538,-2.1660649819494537,32
