Method key,Method,Dataset,Dataset label,Model key,Model,Setting key,Setting,Selected epochs,Selected round,Selected accuracy,Selected compute cost,Selected post-peak degradation,Best epochs,Best round,Best accuracy,Best compute cost,Best post-peak degradation,Accuracy gap to best,Communication-efficient epochs,Communication-efficient round,Communication-efficient accuracy,Communication-efficient compute cost,Communication-efficient gap to best,Selection matches tuning_selected,Near-best tolerance
ffa,Nonlinear FFA,rte_stratified,RTE stratified,roberta-base,RoBERTa-base,heter,Heter,8,1,58.48375451263538,8,1.805054151624553,8,1,58.48375451263538,8,1.805054151624553,0.0,8,1,58.48375451263538,8,0.0,True,1.0
ffa,Nonlinear FFA,rte_stratified,RTE stratified,roberta-base,RoBERTa-base,homo,Homo,8,1,57.761732851985556,8,1.805054151624553,2,5,58.48375451263538,10,3.971119133574007,0.7220216606498226,8,1,57.761732851985556,8,0.7220216606498226,True,1.0
flora,Linear FLoRA,rte_stratified,RTE stratified,roberta-base,RoBERTa-base,heter,Heter,8,10,60.64981949458483,80,0.0,8,10,60.64981949458483,80,0.0,0.0,8,10,60.64981949458483,80,0.0,True,1.0
flora,Linear FLoRA,rte_stratified,RTE stratified,roberta-base,RoBERTa-base,homo,Homo,5,9,61.371841155234655,45,0.0,5,10,62.093862815884485,50,0.0,0.7220216606498298,8,8,61.73285198555957,64,0.3610108303249149,True,1.0
nonlinear_flora,Nonlinear FLoRA Cumulative,rte_stratified,RTE stratified,roberta-base,RoBERTa-base,heter,Heter,8,7,61.371841155234655,56,0.0,8,7,61.371841155234655,56,0.0,0.0,8,7,61.371841155234655,56,0.0,True,1.0
nonlinear_flora,Nonlinear FLoRA Cumulative,rte_stratified,RTE stratified,roberta-base,RoBERTa-base,homo,Homo,8,2,59.56678700361011,16,0.0,8,2,59.56678700361011,16,0.0,0.0,8,2,59.56678700361011,16,0.0,True,1.0
