Method key,Method,Dataset,Dataset label,Model key,Model,Setting key,Setting,Local epochs,Config rounds,Seed,Round,Accuracy,Run dir,Score path,Observed rounds,Complete run,Result source,Run status
ffa,Nonlinear FFA,rte_stratified,RTE stratified,roberta-base,RoBERTa-base,heter,Heter,2,10,0,9,54.87364620938629,epoch_round_tuning/tuning-ffa-rte_stratified-roberta-base-heter-e2-r10,epoch_round_tuning/tuning-ffa-rte_stratified-roberta-base-heter-e2-r10/seed0/10/log.txt,10,True,score log,Complete
ffa,Nonlinear FFA,rte_stratified,RTE stratified,roberta-base,RoBERTa-base,heter,Heter,2,10,0,10,54.51263537906137,epoch_round_tuning/tuning-ffa-rte_stratified-roberta-base-heter-e2-r10,epoch_round_tuning/tuning-ffa-rte_stratified-roberta-base-heter-e2-r10/seed0/10/log.txt,10,True,score log,Complete
ffa,Nonlinear FFA,rte_stratified,RTE stratified,roberta-base,RoBERTa-base,heter,Heter,3,10,0,1,52.707581227436826,epoch_round_tuning/tuning-ffa-rte_stratified-roberta-base-heter-e3-r10,epoch_round_tuning/tuning-ffa-rte_stratified-roberta-base-heter-e3-r10/seed0/10/log.txt,10,True,score log,Complete
ffa,Nonlinear FFA,rte_stratified,RTE stratified,roberta-base,RoBERTa-base,heter,Heter,3,10,0,2,56.317689530685925,epoch_round_tuning/tuning-ffa-rte_stratified-roberta-base-heter-e3-r10,epoch_round_tuning/tuning-ffa-rte_stratified-roberta-base-heter-e3-r10/seed0/10/log.txt,10,True,score log,Complete
ffa,Nonlinear FFA,rte_stratified,RTE stratified,roberta-base,RoBERTa-base,heter,Heter,3,10,0,3,55.95667870036101,epoch_round_tuning/tuning-ffa-rte_stratified-roberta-base-heter-e3-r10,epoch_round_tuning/tuning-ffa-rte_stratified-roberta-base-heter-e3-r10/seed0/10/log.txt,10,True,score log,Complete
ffa,Nonlinear FFA,rte_stratified,RTE stratified,roberta-base,RoBERTa-base,heter,Heter,3,10,0,4,55.5956678700361,epoch_round_tuning/tuning-ffa-rte_stratified-roberta-base-heter-e3-r10,epoch_round_tuning/tuning-ffa-rte_stratified-roberta-base-heter-e3-r10/seed0/10/log.txt,10,True,score log,Complete
ffa,Nonlinear FFA,rte_stratified,RTE stratified,roberta-base,RoBERTa-base,heter,Heter,3,10,0,5,55.23465703971119,epoch_round_tuning/tuning-ffa-rte_stratified-roberta-base-heter-e3-r10,epoch_round_tuning/tuning-ffa-rte_stratified-roberta-base-heter-e3-r10/seed0/10/log.txt,10,True,score log,Complete
ffa,Nonlinear FFA,rte_stratified,RTE stratified,roberta-base,RoBERTa-base,heter,Heter,3,10,0,6,55.95667870036101,epoch_round_tuning/tuning-ffa-rte_stratified-roberta-base-heter-e3-r10,epoch_round_tuning/tuning-ffa-rte_stratified-roberta-base-heter-e3-r10/seed0/10/log.txt,10,True,score log,Complete
ffa,Nonlinear FFA,rte_stratified,RTE stratified,roberta-base,RoBERTa-base,heter,Heter,3,10,0,7,55.95667870036101,epoch_round_tuning/tuning-ffa-rte_stratified-roberta-base-heter-e3-r10,epoch_round_tuning/tuning-ffa-rte_stratified-roberta-base-heter-e3-r10/seed0/10/log.txt,10,True,score log,Complete
ffa,Nonlinear FFA,rte_stratified,RTE stratified,roberta-base,RoBERTa-base,heter,Heter,3,10,0,8,55.23465703971119,epoch_round_tuning/tuning-ffa-rte_stratified-roberta-base-heter-e3-r10,epoch_round_tuning/tuning-ffa-rte_stratified-roberta-base-heter-e3-r10/seed0/10/log.txt,10,True,score log,Complete
ffa,Nonlinear FFA,rte_stratified,RTE stratified,roberta-base,RoBERTa-base,heter,Heter,3,10,0,9,56.317689530685925,epoch_round_tuning/tuning-ffa-rte_stratified-roberta-base-heter-e3-r10,epoch_round_tuning/tuning-ffa-rte_stratified-roberta-base-heter-e3-r10/seed0/10/log.txt,10,True,score log,Complete
ffa,Nonlinear FFA,rte_stratified,RTE stratified,roberta-base,RoBERTa-base,heter,Heter,3,10,0,10,55.5956678700361,epoch_round_tuning/tuning-ffa-rte_stratified-roberta-base-heter-e3-r10,epoch_round_tuning/tuning-ffa-rte_stratified-roberta-base-heter-e3-r10/seed0/10/log.txt,10,True,score log,Complete
ffa,Nonlinear FFA,rte_stratified,RTE stratified,roberta-base,RoBERTa-base,heter,Heter,5,10,0,1,54.151624548736464,epoch_round_tuning/tuning-ffa-rte_stratified-roberta-base-heter-e5-r10,epoch_round_tuning/tuning-ffa-rte_stratified-roberta-base-heter-e5-r10/seed0/10/log.txt,10,True,score log,Complete
ffa,Nonlinear FFA,rte_stratified,RTE stratified,roberta-base,RoBERTa-base,heter,Heter,5,10,0,2,56.317689530685925,epoch_round_tuning/tuning-ffa-rte_stratified-roberta-base-heter-e5-r10,epoch_round_tuning/tuning-ffa-rte_stratified-roberta-base-heter-e5-r10/seed0/10/log.txt,10,True,score log,Complete
ffa,Nonlinear FFA,rte_stratified,RTE stratified,roberta-base,RoBERTa-base,heter,Heter,5,10,0,3,55.5956678700361,epoch_round_tuning/tuning-ffa-rte_stratified-roberta-base-heter-e5-r10,epoch_round_tuning/tuning-ffa-rte_stratified-roberta-base-heter-e5-r10/seed0/10/log.txt,10,True,score log,Complete
ffa,Nonlinear FFA,rte_stratified,RTE stratified,roberta-base,RoBERTa-base,heter,Heter,5,10,0,4,55.23465703971119,epoch_round_tuning/tuning-ffa-rte_stratified-roberta-base-heter-e5-r10,epoch_round_tuning/tuning-ffa-rte_stratified-roberta-base-heter-e5-r10/seed0/10/log.txt,10,True,score log,Complete
ffa,Nonlinear FFA,rte_stratified,RTE stratified,roberta-base,RoBERTa-base,heter,Heter,5,10,0,5,55.23465703971119,epoch_round_tuning/tuning-ffa-rte_stratified-roberta-base-heter-e5-r10,epoch_round_tuning/tuning-ffa-rte_stratified-roberta-base-heter-e5-r10/seed0/10/log.txt,10,True,score log,Complete
ffa,Nonlinear FFA,rte_stratified,RTE stratified,roberta-base,RoBERTa-base,heter,Heter,5,10,0,6,55.23465703971119,epoch_round_tuning/tuning-ffa-rte_stratified-roberta-base-heter-e5-r10,epoch_round_tuning/tuning-ffa-rte_stratified-roberta-base-heter-e5-r10/seed0/10/log.txt,10,True,score log,Complete
ffa,Nonlinear FFA,rte_stratified,RTE stratified,roberta-base,RoBERTa-base,heter,Heter,5,10,0,7,54.51263537906137,epoch_round_tuning/tuning-ffa-rte_stratified-roberta-base-heter-e5-r10,epoch_round_tuning/tuning-ffa-rte_stratified-roberta-base-heter-e5-r10/seed0/10/log.txt,10,True,score log,Complete
ffa,Nonlinear FFA,rte_stratified,RTE stratified,roberta-base,RoBERTa-base,heter,Heter,5,10,0,8,54.87364620938629,epoch_round_tuning/tuning-ffa-rte_stratified-roberta-base-heter-e5-r10,epoch_round_tuning/tuning-ffa-rte_stratified-roberta-base-heter-e5-r10/seed0/10/log.txt,10,True,score log,Complete
ffa,Nonlinear FFA,rte_stratified,RTE stratified,roberta-base,RoBERTa-base,heter,Heter,5,10,0,9,55.23465703971119,epoch_round_tuning/tuning-ffa-rte_stratified-roberta-base-heter-e5-r10,epoch_round_tuning/tuning-ffa-rte_stratified-roberta-base-heter-e5-r10/seed0/10/log.txt,10,True,score log,Complete
ffa,Nonlinear FFA,rte_stratified,RTE stratified,roberta-base,RoBERTa-base,heter,Heter,5,10,0,10,54.87364620938629,epoch_round_tuning/tuning-ffa-rte_stratified-roberta-base-heter-e5-r10,epoch_round_tuning/tuning-ffa-rte_stratified-roberta-base-heter-e5-r10/seed0/10/log.txt,10,True,score log,Complete
ffa,Nonlinear FFA,rte_stratified,RTE stratified,roberta-base,RoBERTa-base,heter,Heter,8,10,0,1,58.48375451263538,epoch_round_tuning/tuning-ffa-rte_stratified-roberta-base-heter-e8-r10,epoch_round_tuning/tuning-ffa-rte_stratified-roberta-base-heter-e8-r10/seed0/10/log.txt,10,True,score log,Complete
ffa,Nonlinear FFA,rte_stratified,RTE stratified,roberta-base,RoBERTa-base,heter,Heter,8,10,0,2,58.12274368231047,epoch_round_tuning/tuning-ffa-rte_stratified-roberta-base-heter-e8-r10,epoch_round_tuning/tuning-ffa-rte_stratified-roberta-base-heter-e8-r10/seed0/10/log.txt,10,True,score log,Complete
ffa,Nonlinear FFA,rte_stratified,RTE stratified,roberta-base,RoBERTa-base,heter,Heter,8,10,0,3,58.48375451263538,epoch_round_tuning/tuning-ffa-rte_stratified-roberta-base-heter-e8-r10,epoch_round_tuning/tuning-ffa-rte_stratified-roberta-base-heter-e8-r10/seed0/10/log.txt,10,True,score log,Complete
ffa,Nonlinear FFA,rte_stratified,RTE stratified,roberta-base,RoBERTa-base,heter,Heter,8,10,0,4,57.400722021660656,epoch_round_tuning/tuning-ffa-rte_stratified-roberta-base-heter-e8-r10,epoch_round_tuning/tuning-ffa-rte_stratified-roberta-base-heter-e8-r10/seed0/10/log.txt,10,True,score log,Complete
